cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-16.47698198,-10.638365624701098,-0.5408369766749302,-5.484451212212213,-18.270086351791395,-26.661003390000005,-31.67091132993552,-33.61090794858791,-32.798854617073154,-30.33995094810621,-28.065676620000005,-27.473964298775268,-28.652207846192116,-30.461877726766623,-31.434023298485013,-30.690106089999993,-28.6661604019891,-26.72648731693417,-25.878115586271488,-25.879738064179904,-25.632269210000004,-24.246867790550233,-21.652350482473988,-18.314230931165135,-14.520681389545874,-10.26425318,-5.919825740123765,-2.726646475299445,-2.0912373283287087,-4.257466068459672,-7.791849319999979,-10.603244482994603,-11.422826411045481,-10.300659903388702,-8.141404949943693,-6.04545577,-4.775442867631771,-4.500749729671967,-4.906020010392863,-5.4509386026693445,-5.61668081,-5.236927376443169,-4.891638814278164,-5.745314336318382,-8.485168195052552,-12.17449327,-14.550813481884648,-13.891844980637622,-10.662208808411831,-7.174951951484054,-5.62789193,-6.5500875027233265,-8.710150186318414,-10.235070187178842,-9.893939817458437,-7.73647894,-4.772838986499942,-2.058208256694156,-0.3307534749118903,-0.16227209449538288,-1.8865766399999708,-5.1402504963010385,-8.739396035799913,-11.223176750508188,-11.48765452933175,-9.37010362,-5.986731981136805,-3.4369594466856666,-3.479482550423857,-5.968628814458121,-8.73451921,-9.288717927109248,-6.855586897033936,-2.798939706659083,0.655062270265039,2.10242064,1.5007652727467953,-0.44758717102413853,-2.9814531140174254,-5.583951069431344,-8.003250029999998,-10.059174123791493,-11.407519620082091,-11.474012493178957,-9.892012368630025,-7.807261290000022,-5.953469767930276,-4.1844459791083075,-2.181020872671743,-0.20361047740525365,0.58467863,-0.9980211355913093,-4.840466268497863,-9.177120849266156,-11.723965368671994,-11.62537255,-10.4655870317579,-10.993427614792237,-14.301431188686188,-18.41785674410804,-20.78484221
7kg_10bpm,2BC,-11.90558983,-5.050935314956544,1.2409305454680666,-0.8173310435274895,-11.286120613906313,-19.113610249015395,-23.724886881360888,-25.356621229809647,-24.646177469199735,-22.807258092474267,-21.422344728051883,-21.822571487493803,-24.387944266828907,-28.333065965354546,-32.270915697200074,-34.93532699902441,-35.560545809495785,-34.14987783369185,-31.474871416230506,-28.552162786905374,-25.98871319,-23.82134388305746,-21.700466382255755,-19.16728628228369,-15.985145155726414,-12.369041481485391,-8.981009487801979,-6.676998493679506,-6.005204778404248,-6.866897825450572,-8.484098350407345,-9.918520359028028,-10.647849431287423,-10.659263749869165,-10.193364602635954,-9.492596972339696,-8.66098602105195,-7.741743481618016,-6.91335991115063,-6.527418255871974,-6.80026177,-7.442165329288204,-7.702539650303927,-6.920435579054538,-5.122514673609638,-3.118937216338056,-1.9659304160823894,-2.251835611144783,-3.8295154969259575,-6.003474902136362,-7.914244141515386,-8.855969046998686,-8.411111310954626,-6.593250249513584,-3.976899162572902,-1.6102160821506768,-0.6730115416942464,-1.8435470469814992,-4.644764397349203,-7.634797047198024,-9.5528446,-10.231894187335516,-10.272349274783771,-9.90718057403721,-8.480358522635726,-5.327667160155319,-1.0200051727988733,2.6092259355114296,3.832656939825869,2.397300916281801,-0.45427409876707137,-3.08822547075803,-4.5744791931535795,-5.083738282205565,-5.468057839456984,-6.36853025178079,-7.609213960674064,-8.393536151973095,-8.089610071911437,-7.006949124531949,-5.06224571,-2.071356141868173,1.899213438518942,5.999985324516188,8.537168233812682,7.767915198704114,3.0231043286220274,-4.738318857222456,-13.281492349188202,-20.047282023051427,-23.06748847558637,-21.375196514597413,-15.127074632117505,-5.799212241678779,3.899986320562196,10.706322650296297,12.136041996583458,7.781175378201725,-0.426952860278162,-9.13226224234836,-15.61954449
7kg_10bpm,3BC,-16.13474179,-5.374995857007736,0.6066839236713856,-8.393474187320217,-19.704996161739796,-25.57043683782046,-27.522968069712984,-27.08675974340152,-25.66911855055862,-24.317246346956907,-23.562588584585622,-23.443653295654524,-23.588062502347924,-23.520582979594973,-23.098421152969504,-22.57491562898819,-22.27718903794517,-22.3265183380357,-22.71565291172969,-23.28551048767488,-23.560703291289904,-22.839495591597412,-20.61767026080403,-17.005693681234707,-12.681071891916247,-8.52485732898814,-5.324641509984539,-3.612439594325,-3.606471688244589,-5.149615776698018,-7.671483120625558,-10.243732633143749,-11.799157617369422,-11.659042959833844,-10.038892224296482,-7.8991489348235895,-6.229522843117132,-5.417478002760335,-5.300479110571799,-5.725407784572001,-6.843755846783815,-8.773302441080109,-11.168945755633008,-13.158677087401676,-13.625143228165834,-11.845898661874699,-8.158136802301447,-3.910499681856742,-0.6417558320893346,0.7490497916688303,0.37120668142901414,-0.981527096179388,-2.609026225735883,-4.289047368569332,-5.908760636669878,-7.075678720942159,-7.319516377136388,-6.565302096831458,-5.361361834989295,-4.573036713256207,-4.737571405036406,-5.558668460274472,-5.903740633674465,-4.4990003685643645,-1.0528657747546164,3.188641937059202,6.222246915730282,6.63465084913884,4.429334864557248,0.9787277037325123,-1.9363061540157775,-3.418733772359501,-3.956988604285885,-4.714328499182367,-6.325947916871486,-8.194640906139819,-8.818506234184142,-6.914242653204676,-2.9636858524048515,1.3494579950845877,4.2569177134879705,4.704069084918065,2.899375056537885,-0.2418691607232961,-3.877077482454983,-7.346800525365467,-9.942976939483788,-11.05969154661162,-10.644801296712844,-9.21622298294345,-7.303709902139351,-5.055300012357052,-2.473727059530791,0.05137862748954101,1.5017827703083835,0.681906973296708,-2.846707025011142,-7.964271335382663,-12.512938846355663,-14.681436698962395,-13.22685886
7kg_10bpm,4BC,-10.95062315,-1.4795645040780692,-2.0942423199754066,-16.64622040555081,-27.496049687865447,-33.26297223124669,-34.078045578228135,-31.067074656985543,-26.199286722090115,-21.771261532791115,-19.558234621551374,-20.14872477160179,-22.775695244342458,-25.74211181985939,-27.406014559964422,-27.22040168050443,-25.91622374275123,-24.728468455600524,-24.43028600749896,-24.733084547496645,-24.532656083013872,-22.831388164718664,-19.439413117367035,-14.999371120051125,-10.611227208323585,-7.3057347230575616,-5.606916214681533,-5.3283718155301525,-5.845699588268395,-6.530632649965513,-7.043989768287795,-7.388330518187866,-7.722315999964422,-8.128208761007656,-8.550849021317802,-8.857041407917606,-8.940043086544032,-8.864391241322197,-8.787987365275116,-8.94166010466188,-9.427428481654124,-10.002153847523974,-10.138525230026671,-9.469883417634758,-8.251173796041023,-7.30738281602371,-7.385715221459216,-8.46692900235945,-9.656228972825751,-9.826859232539183,-8.477067785695152,-5.945673065931728,-3.011179826562612,-0.4322235691290356,1.2149937497686765,1.5215284034386756,0.5044533893175298,-1.2818851536069829,-3.1522407546106437,-4.526512090021631,-4.854972957438392,-3.670442818271398,-0.9180820902181462,2.5729543329777513,5.012070306424337,4.5204364709113385,0.6830355596686942,-4.594807723388675,-8.084603785408664,-7.524671326238771,-3.287429020249958,1.8961468994401314,4.7932183684376595,3.7506080424696573,-0.35679796623967597,-4.8537487545108196,-7.159107455421577,-6.510306766530395,-4.198942685888227,-2.166752911649759,-1.2208883904693781,-0.46351409817897343,0.8916546695713085,3.3608222808728145,5.92760827688653,6.416081172699266,3.026880893227956,-4.436319455569624,-14.069577405826832,-22.324908468473737,-25.667914627150395,-22.623332146394873,-14.671541106695749,-5.332576122005036,1.7510279449598243,4.436446558368694,2.69541866042328,-1.8569218095850641,-6.82048757545716,-10.016153283106133,-11.14742538
7kg_10bpm,5BC,-16.51485412,-6.803455923428266,0.246499230147766,-3.564750116252463,-14.377750841173878,-22.20569334686703,-27.250045740386962,-29.50710790862731,-29.18281140025049,-27.078448746441655,-24.349590345196802,-21.95683678438174,-20.371227288445244,-19.599560949247145,-19.27736141592766,-18.98934064491166,-18.670884561004904,-18.668288465199872,-19.32129247806174,-20.49298555645103,-21.50677703920371,-21.575935733418333,-20.343476199866892,-18.208035837372464,-16.1121953600756,-14.773505300864734,-14.12824794782104,-13.464128672718873,-12.078539002014029,-9.865922532679937,-7.351678140255887,-5.324277757217305,-4.46914741492756,-5.112952522171128,-7.009745384201611,-9.364433040712504,-11.18932189033327,-11.75530484709158,-10.94000519098735,-9.173779495379385,-7.259100242725199,-5.910172616509827,-5.358839808625281,-5.403453245576462,-5.838226601738045,-6.677414693647539,-7.9254692326676786,-9.230232088479077,-9.950967584293878,-9.608518216019363,-8.226441092240615,-6.270823131745787,-4.179061664806796,-2.046118959846943,0.01268228223070813,1.2875995196752277,0.6694092724926202,-2.428179551727241,-7.2409587250372685,-11.663994275978222,-13.449672279091223,-11.806974719137457,-7.860899549356417,-3.7501637566844925,-1.2719049298117047,-1.1133379535561834,-2.9036628909691395,-5.534714026952396,-7.441468704864824,-7.117464234026018,-4.094823445255381,0.4113563033006337,4.044235684376556,4.779962256897966,2.2710553141949488,-1.9927227630086979,-5.629777149690105,-6.694480430529432,-4.75957711623921,-1.1461653294304703,1.9260068752321402,2.785633140218871,1.4174000601479855,-0.5550134706324196,-1.9434297108176575,-2.980823683090782,-3.15992125838477,-3.3263050224880746,-4.862520088619997,-8.523932992334492,-13.817995901254596,-19.126960893942673,-22.267199736881736,-21.158268914981292,-14.598681656091788,-3.933279996594186,5.1379186476362015,9.06306744395845,5.862779084610267,-3.9090494544790126,-17.30504738
7kg_10bpm,6BC,-19.02773863,-10.03490599449641,-3.085575123219316,-4.347202653178911,-16.756254272549523,-26.92277789180008,-32.39237144511406,-33.68553464930322,-31.916830143414366,-28.511886208393058,-24.903847585784813,-22.190843552694293,-20.844351005374417,-20.734634815906343,-21.325339449831002,-21.826084604253083,-21.540931977218797,-20.248511346597617,-18.447447298582713,-17.00617197473266,-16.403285478587552,-16.37318245694185,-16.129906881277087,-14.982062731834674,-12.852756013652689,-10.50016274,-8.838486998960335,-8.014937230176303,-7.404586541279375,-6.552424494023645,-5.875824285694135,-6.283993923163129,-7.974795594386572,-9.976212048976032,-10.931227781393968,-10.115478406389112,-7.670528088575027,-4.625871323100661,-2.566871269085889,-2.747452816477569,-5.196416648927658,-8.71417647486685,-11.753962719350032,-13.153197421097754,-12.505083233757373,-10.448140519792751,-8.415067987675169,-7.599586459734206,-7.893309294399117,-7.90434837448005,-6.1620446,-2.5199113475186987,1.406190428286991,3.1631269598200196,1.2706790110198438,-3.23014570467674,-6.999764447021162,-6.946950943353447,-2.9511018779542173,1.9039593966052968,3.8998630690054426,1.8219926576447918,-2.0344708883201714,-4.233345100685438,-3.5673678499315153,-1.8591909432072227,-1.4782301243831357,-2.67653495979794,-3.703744377081102,-3.0840933612164227,-1.2682396291888622,-0.09327001016544789,-0.8223673348609418,-2.7662745007918326,-3.9681477131609397,-3.16234196,-1.1324770221612595,-0.2333949328979867,-2.2137410014849648,-6.196177994427682,-8.941579014692508,-8.321563523563421,-4.605964800822557,-0.09988743372052715,2.581597166014974,2.309198881624024,-0.5565451005204546,-4.98652816479919,-9.501682340988754,-12.152064413969526,-11.41787558431699,-7.659494511865465,-3.4439248132963063,-1.9395780331083476,-4.569690775653773,-9.9691451960036,-15.017464172664333,-16.76091636397171,-14.315883852142903,-8.781810757690971,-1.69037965
7kg_10bpm,7BC,-18.44674743,-16.294501703219982,-3.82923569778921,-1.687363915076713,-16.65900520162845,-26.16507208093289,-29.261852112141728,-27.824015670852106,-24.450820707914623,-21.65296874138596,-21.146406500841977,-23.045474488399822,-25.692963437164902,-26.762724556551568,-25.08323617413694,-21.65375467682863,-18.798152049867355,-18.36904669043084,-20.15582084609393,-21.854440969815922,-20.98882653,-16.835828251598826,-10.907687789215558,-5.8028773505240645,-3.702031472316,-5.129302025472806,-8.682342807081715,-12.033833974858105,-13.529930036509601,-12.94477559001432,-11.010684143708517,-8.614901086311676,-6.34623979886926,-4.383174670756161,-2.746032363073732,-1.4771527588994056,-0.7745834704141857,-1.046253224265998,-2.665944022244387,-5.607069043827889,-9.09948778,-11.689003512135045,-12.133067352560552,-10.564179698986932,-8.669357089486498,-8.336040764280822,-9.783955947156759,-11.150873158919605,-10.305594842440591,-6.907029815872367,-2.794796921906865,-0.5292304728278955,-1.2813312105318286,-3.950199262664027,-6.393772839173479,-7.309613013848579,-6.647392061748852,-4.940905405820629,-2.8707380252794126,-1.2475821821191129,-0.88496445,-2.0722932592463237,-4.228904760998968,-6.027181830416444,-6.145463947506467,-4.3746560735311055,-1.9123033264392226,-0.3432379318629922,-0.28839211164139394,-1.1672925588776681,-1.9938119707151052,-2.3131016392420864,-2.5018712567220174,-3.293236076387529,-4.882365893885255,-6.378978025373336,-6.304539554692832,-3.9143061728866866,-0.06279861875169568,3.307358912423141,4.6042111,3.517930114164772,1.069638161616502,-0.8986141943004017,-1.4233820162564679,-2.047970154783308,-2.0181349814240694,-1.46281486811897,-1.5118573534874733,-3.5080630074911427,-8.034927470315175,-14.578515756461664,-21.801900191112285,-27.830848017442793,-31.65200134716292,-33.49275465455828,-30.67682268751195,-21.7055358339804,-7.883139489828852,6.582103439889003,16.05632821
7kg_10bpm,8BC,-15.25385371,-14.765377709844428,-5.48405824852318,0.3011775217728911,-7.413286976878475,-14.86859470083479,-18.834268372734755,-21.680976273430627,-24.281076502291857,-26.26553873292988,-26.761006084015648,-25.243408278466095,-22.19038317286298,-19.040902363950565,-17.327824864712465,-17.70651667674049,-19.67526667482731,-21.68153042265076,-21.85083778260779,-19.04107208902453,-13.642629602491091,-7.45765856456162,-2.629730881009617,-0.47525806646866153,-1.1706458602593228,-4.066394279238972,-8.05019118284992,-11.943938858259543,-14.681781711037758,-15.418084484954965,-13.894226509922309,-10.598927704951143,-6.807308052067274,-4.282332489086125,-4.312641032762961,-6.851331310844785,-10.457492226471697,-13.174759649500325,-13.80292944371053,-12.534562578988155,-10.628417574725583,-9.46299427994388,-9.462903133458674,-9.5150416024976,-7.860242071821604,-4.025670171188018,0.2442166207000009,1.9303998092235595,-0.9991145427080201,-7.572025286433685,-13.944815214076892,-16.104690679160537,-12.724194050053525,-6.156092540326911,-0.7703550707973043,0.10167431508214625,-3.651842242126677,-8.953535330281316,-11.618245470786782,-9.251246157840601,-2.984417994362919,3.3084152279111922,5.648559626873805,2.8868725670338606,-2.6121378826573305,-7.23671046385128,-8.872997756419743,-7.628628729710534,-4.6238743075107775,-0.9824450667424407,1.9719461954060027,2.6737913225390146,0.36444638462740153,-3.866239748986099,-7.718787616709263,-9.530635051878303,-9.196253546580092,-7.297680937473783,-4.322288395379197,-0.9978047697756801,1.4299740689595846,2.071112009433543,1.4221578974565245,0.408515542799345,-0.5712546826097318,-1.2536682412288813,-1.8862597760178592,-2.599762943397185,-2.9468121659714384,-2.056082513343069,0.36736706513120754,2.9004490147747832,2.850352157732188,-1.5526690036245934,-9.342686664905836,-17.296157489118922,-22.000680463989188,-21.53314403744538,-15.82049785985142,-6.232853819722297,4.41530228
7kg_10bpm,9BC,-14.04273703,-5.803251202793981,-0.7263523318543715,-3.3676941584350755,-14.065091355946993,-20.71102302,-23.588201671308052,-23.871324767557184,-22.32501025611831,-20.035499821125818,-18.50267024,-18.523021441629336,-19.46079749112169,-19.964649406571986,-19.225375294993086,-17.602968120000003,-16.168302941555304,-15.811080753977953,-16.22913641798897,-15.886507134746033,-13.69519149,-10.394734366524775,-7.735628708410351,-6.727070352567218,-7.025133111787318,-7.75389067,-8.559677621220397,-9.550053265000468,-10.60815269193094,-11.22891495256697,-11.08421176,-10.407889712404401,-9.526834869914781,-8.513986739680862,-7.389457885834855,-6.315730780000001,-5.363419174232934,-4.431584306279913,-3.6763640975028626,-3.7732197051874934,-5.41378887,-8.553500684659337,-12.16141804659304,-14.615712352615784,-14.479513687298482,-11.626965130000002,-7.6993691896446,-5.026736671507637,-4.965726191602987,-7.003459182234154,-9.15754909,-9.44522724855302,-7.1927553768271775,-3.547256911592736,-0.5588622949027188,0.44871253,-0.4483441441613737,-2.2775549250023746,-4.140546175357027,-5.529524753271961,-5.88998273,-4.700841747090856,-2.2683764836308096,-0.4367335541379137,-1.0467949671536672,-3.5785500699999995,-5.580718296164592,-5.424689278827037,-3.8084877604893137,-2.408349784929467,-2.19672058,-3.320485746981901,-5.423119121656643,-7.407227797766973,-7.734021895949116,-5.88761873,-3.3190323251311766,-2.1317753366072565,-2.7134991599061458,-3.413294960984312,-2.64436781,-1.1393739465745296,-0.7274058359584388,-1.5343763004351831,-2.158778318543815,-1.42290107,0.2884164023276773,1.5114551137511132,1.3456137545444347,0.10155855650501464,-1.5563019300000003,-3.8367717271948356,-7.794175982087576,-13.202398939076028,-17.324667936276786,-16.99360062,-11.491732864884748,-2.9781093282978794,5.2957131011559815,10.627360426691032,11.19310141
7kg_10bpm,10BC,-15.27911779,-7.193059692792172,-0.010577783164000107,-2.7918709925727194,-13.169107045762587,-19.15559910871402,-21.259181350256583,-20.53688890207192,-18.612244223759006,-17.336265141249253,-17.872219339806172,-19.781040506451262,-21.311378745418434,-20.97220187810808,-18.603798472069247,-15.14217627207171,-11.99225554453527,-10.464537195785532,-11.279396804086444,-14.136096477122356,-17.563084684846032,-19.630815319998305,-18.98283586010522,-15.526672119724322,-10.477487970482882,-5.678448845742762,-2.843885964152491,-2.7953652932168236,-5.0251015488709365,-8.096773345215933,-10.622963293346569,-11.89068608886456,-11.904772531976013,-10.911225648165189,-9.182704616749815,-7.136187550713156,-5.4341941681191175,-4.739290287172515,-5.311990788748403,-6.878436310195419,-8.889603344410586,-10.843412406505195,-12.370707911584157,-12.895975230517138,-11.751813867912096,-9.100239859997421,-6.323720064099527,-5.161634415849502,-6.527829755557706,-9.808198812021764,-12.981507552854799,-13.839729668684711,-11.252178751835855,-5.834005528870455,0.10971367087666886,3.6298558840040815,2.872081197053052,-1.5678258149137567,-6.954985884635618,-10.417819974670714,-10.617733131620872,-8.068042097468902,-4.490978502906986,-1.6756189711495924,-0.5499031133968926,-1.1009226330723285,-2.9738813986600285,-5.399608124238917,-6.904969586411733,-6.300185004703227,-4.2046252973306135,-2.8293613044564023,-3.889738930412096,-6.777186625185123,-8.98363340019305,-8.370829734932384,-5.065658362729565,-1.3582140369076467,0.23626943077217682,-0.9376446374956438,-3.107246691403759,-3.85174532493352,-2.3456343808160125,-0.34620981126883205,0.4680720577035433,0.14886063591313517,-0.3897991278792823,-0.4993658470233581,-0.7785658665058057,-2.688230730389818,-6.807073387960803,-11.796767111558768,-15.319761550716432,-15.686967618019407,-12.611316587779946,-7.057916858365316,-0.9534245079173892,3.2038522467852175,3.3997950200872027,-0.9513153869999788,-9.13563004
