cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,150.43236138,123.86712444345542,90.8033258160497,60.18750703162682,37.02146379081566,19.809998450904068,5.3557268825863815,-6.58133493709184,-14.019614236636546,-16.194252115373324,-14.893181300000002,-12.805013906974555,-11.311314061976429,-9.814484453793126,-7.529150847148101,-5.880077447598801,-7.320142422108023,-11.267784418419328,-12.90756978401175,-8.216901382927315,0.51599796,5.776140120098591,2.530051897906707,-6.17047432990944,-12.901359363891608,-14.243125340612037,-12.646659904834088,-11.452193246476075,-11.784556475416805,-13.47876899775994,-15.947629370000001,-18.032311025064104,-18.60583726169545,-17.782353940324118,-16.80130852214898,-16.415724719885056,-16.38872462560269,-16.551697227439654,-16.713499123265436,-16.207747386426874,-15.10650626,-14.875513487361395,-16.185588599335972,-17.25834251529473,-16.236404762216274,-13.63928323074636,-11.358346818828405,-10.686938193875013,-11.503378283749326,-12.446381910718909,-12.126394570000004,-10.500949601243965,-8.818784983214982,-8.377380960100595,-8.428296190312093,-6.764609378229523,-3.242682304932164,-1.0749863419590284,-3.291704692360757,-8.481530881486876,-10.955083350000002,-6.841831004983239,0.18748729159212923,2.4135216718058214,-3.0886712764640114,-11.454891119853958,-15.22105421083746,-11.823098676942411,-6.04296411620736,-4.731217646591679,-9.49637509,-15.114455891857917,-15.169592066249804,-9.295382449383863,-3.671459172344599,-4.650524674659238,-12.354703226479012,-20.929432027669172,-23.980854983407955,-19.482712863604473,-11.077106400000002,-4.177135589342172,-0.7402734304916287,0.8371263535641817,2.290777436817305,4.493365963991625,9.340525061259013,19.078175236888065,33.400476167745616,48.91396443513667,61.93143612000001,71.6410235677148,81.01760322029206,93.9625455543006,111.27124530698293,129.38532700775536,143.11952902549672,151.01167817929291,160.8256509292845,-34.82111852283884,-21.3822563
15kg_10bpm,10BC,-17.54786857,154.27567808814868,120.41934019308277,87.60281329768713,55.01388013366116,26.6415191612369,4.604451138019194,-11.344470186175503,-22.074892901455655,-27.7223304013375,-28.180940661706593,-24.59945074786743,-19.713701747920968,-16.44784751473655,-16.005028297780875,-17.185752880770117,-17.78883339403527,-16.774075607127262,-14.827253588269333,-13.129889175069385,-12.27874572,-12.093285891428764,-12.008892086408638,-11.773796237183857,-11.680380740423981,-12.093531233070049,-12.951808298803462,-13.785255129470295,-14.051410560321694,-13.445045635924327,-12.055939510292374,-10.439560941423414,-9.378671113959053,-9.482201670090099,-10.802585702746226,-12.623992051553513,-13.708748142783696,-13.027123290439118,-10.531681194625664,-7.364305253409664,-5.204181590000002,-5.143146191048825,-6.912894978333177,-9.113149181645314,-10.250319890009099,-9.913826889043737,-9.209969013161496,-9.934601991640731,-12.983496081315316,-17.323872590448932,-20.407679053764426,-19.757570992700973,-14.676814225081515,-6.890124684374436,0.321545861192093,3.8762859177194833,2.4209729067207344,-3.0762020147042817,-9.867139460426321,-14.742199567009616,-15.364685690000002,-11.296775277153568,-4.379191174921272,2.0825300750836973,5.079362269104208,3.523877578377727,-1.3592848874530665,-6.838394775280491,-10.117677763224867,-9.652911920054056,-5.682742372101394,-0.015236443202204075,4.8480263259105545,6.926801277330522,5.616343640551808,1.7732883666464274,-2.814351788132488,-6.418396972336411,-8.222392940591613,-8.388621014785304,-7.337971940000001,-4.819556930542496,0.30888261943388445,9.232761706620852,21.931838227821903,36.82893864336491,51.721981260807034,64.942914756189,75.94806612947762,85.35685764463334,94.40271621685807,104.06689543102748,114.55413967730564,125.54031630008194,136.47433256165388,146.2631167127601,178.52377796942278,-33.69146040277451,-6.313723934882554,-0.6964116148086786,2.41341546
15kg_10bpm,10CA,5.67153724,1.7685617357391794,126.42229808447179,84.48526509559521,42.650492293665394,10.53805141660806,-10.761991877023123,-23.034637693891632,-27.428149957838055,-23.77591803164566,-12.49088215,2.2513810946134907,12.977183705488642,14.906814669480916,8.853113858854151,-0.8042375645536891,-9.190799100890217,-12.84170237299457,-10.973344302254628,-6.585429498207722,-3.055655710000001,-0.42117386112254734,2.7000154072890132,6.072038845496349,8.463464167771411,8.449858229346228,4.6702913362776926,-2.859076446407913,-10.061420918920915,-10.887748063325427,-4.523298190000001,1.7767288995270059,0.09981140728821489,-8.196916307475217,-14.595756110902503,-14.814305878690526,-13.391407424606813,-16.463876952574598,-22.634826230011736,-24.823175692633797,-19.778891050000002,-12.02486340372313,-8.398886860216747,-10.422856602770292,-13.12296209314207,-12.28511043450459,-9.606273924078636,-8.848791421794026,-10.60076900726561,-12.745424231154427,-12.811198590000002,-9.019445302428426,-3.6839082859043266,-3.436151960837879,-10.267459232167235,-17.138745620922858,-16.147833344133442,-8.246726755759415,-1.958259869116878,-2.557276728434608,-6.533992150000001,-8.161185431606011,-7.701761682804467,-9.85627539108014,-14.266429760401255,-14.098427922369668,-7.435678968846896,-3.066318378545981,-9.05962060661695,-19.93528549144654,-22.572293990000006,-14.183494142832698,-5.38784399031501,-5.191503569155229,-10.6258909532768,-13.412011437153302,-10.62182970953104,-5.152141255789407,0.33830369786470615,5.296276285338821,7.435507540000001,3.634786721979019,-2.8456257041969977,-2.8594770844484785,6.658245840280269,16.788114559743253,18.05060823611469,12.750141805166507,10.64401449280125,16.455704163338925,27.490133710000002,40.68933916230376,56.4333511762727,75.25475395687546,94.6965745253148,110.80031514374693,121.47249298415922,127.55332670128696,131.7860377166368,135.69817467430875,137.01054054
15kg_10bpm,11AB,150.69523082,134.45395420032736,106.17900866365895,73.42039019181229,45.344500776538716,25.510511558883067,11.36060381869179,-0.8665040649748416,-12.18822879666894,-21.122853341972313,-25.593361625975668,-23.971633304727174,-16.295959450489455,-6.168225157968072,0.11682233241689659,-0.7312664224760776,-4.701685945067527,-5.008950242006711,-0.8051416434828339,1.940143636419975,-1.0233313514832967,-6.359296948754729,-7.8939333507518725,-4.9396122925439485,-2.2993410256520264,-3.26691623,-6.412108121538582,-9.008866831010401,-10.474642957165146,-12.167951076387059,-15.162036112244524,-18.715318723324582,-20.76443946137166,-20.32511074329878,-18.90762558074927,-18.73386331278496,-19.735179745884896,-19.311827535753878,-16.048725063883385,-12.545023273976053,-12.604256733349263,-16.301105614513705,-19.713895150794848,-19.217413902907033,-15.100247469657416,-10.707521558160632,-9.189577109249518,-11.629826987747519,-16.2988557508313,-19.031632314369208,-16.37514898,-9.548949678081447,-4.325513825697102,-5.266833435046714,-10.092205610634926,-12.071130385477227,-8.153765638583847,-2.791484830748431,-1.8633449430544244,-4.957278082054727,-7.112174823496849,-6.47032058746676,-6.286613283861267,-9.601738836098429,-14.694239303425803,-17.060885225877012,-14.357939716180482,-8.907595026618727,-5.601039165615939,-6.865816960129026,-10.318195352876067,-12.316950281498258,-12.642141288006785,-13.434534298047561,-14.268450234648217,-11.812197850000002,-5.409725789617333,-0.0029026725530449764,-2.192643325360775,-12.516146188490865,-23.738364013916744,-28.156038553268658,-25.109853761006715,-20.319377711164417,-17.89852832467513,-14.991143847497966,-5.479733510054996,13.042572172758584,36.528865846045065,57.2032954137579,69.38559297844351,72.87290200995422,71.4029533403948,69.67293531551512,72.09156381239985,82.10050301265704,101.21517965890457,127.50270427883476,155.40144463915735,177.81627087819442,189.43012997
15kg_10bpm,11BC,147.81139573,116.4238155942784,80.10304892586267,45.895500618215614,18.268010648776368,-1.6346201893472796,-14.672784043180187,-22.294945788436387,-25.772308984466157,-25.886682715338164,-23.35591851833988,-19.406742842831683,-15.668333601915904,-13.404662233349079,-12.878154415474821,-13.36158681223317,-13.82348791834346,-13.635984866537088,-12.82527713193343,-11.909457898465561,-11.463863218512973,-11.900956300204095,-13.279774311914165,-14.936245473675683,-15.751811113743004,-15.011624880059738,-13.05582798171546,-11.102881846090597,-10.194138129337514,-10.265155317854083,-10.263108225536167,-9.011707719602981,-6.315704665079236,-3.5096483066403223,-2.774439385321249,-5.581595088511357,-11.35893157537337,-17.43590826416826,-20.510933335705598,-18.844222928651263,-13.656524334116362,-8.55242573318895,-7.254493415493963,-11.154630387184486,-18.22356714085052,-23.996349284078114,-24.218808285487068,-17.66787253097982,-7.466220575845709,0.5117875098238456,1.6262616002792323,-4.133339767082236,-12.387659576653784,-17.838807966804687,-17.935290710584717,-13.737977560578592,-8.189733656517898,-3.720963340494475,-1.056526965596094,0.17807747485497324,0.30053047821941214,-0.706728431405791,-2.5982636967224755,-4.47299355073901,-5.510303905049507,-5.9650458164543645,-6.827242462612481,-8.278469874151824,-8.946298761232775,-7.266324809010805,-3.2333394851673996,1.319809821749514,4.076875811617279,4.001459643657525,1.9704161038481804,-0.14973994866216345,-1.079884346724796,-1.2575237541168418,-2.208977015427793,-4.6898530732719514,-7.8108745195771405,-9.914325099176674,-9.824077980221052,-7.3143643220944075,-2.710464796682452,3.798885623313257,12.46144341884468,23.631243626364245,37.15612762792662,52.03657038334165,66.75525472730698,80.10792487789065,91.83355891029042,102.5873536995925,113.44217941776262,125.2320846550767,137.81312275262493,150.10271209139708,182.62208250567477,-42.6321638003304,-17.35739174
15kg_10bpm,11CA,-10.16721306,137.36259132086676,134.5087410847748,122.4558750658919,104.2525927893274,82.26214817586407,58.84545077798622,36.41591972651912,16.935548539803786,0.667372335782829,-12.540772762094058,-20.740568425726124,-21.430349472248523,-15.220294819450425,-5.842676308690478,2.8185756546747456,8.05327342557849,8.10565958307521,2.7963072037629293,-4.932526910500832,-10.317235460251162,-10.557033166828562,-6.459441428900421,-1.1539065991094104,2.0346729107866097,1.8032666664321662,-0.05375285594361004,-0.7183335481680362,0.4611531622651899,1.6981638248758542,0.8882974206878371,-2.288176778578033,-6.3106057239614275,-8.381843236612184,-6.232411462359284,-1.469700009565889,1.2168420233296557,-0.7154579192943915,-5.299810981797546,-8.674247459991786,-8.470458063561368,-5.372802600255086,-2.9518908111420052,-5.025955444272455,-11.386766259320853,-17.65235509395967,-19.86915490425969,-18.041008573659568,-15.233664796300447,-14.310110609802678,-15.388065020000003,-16.478279900317823,-15.732360116984134,-12.750120177060412,-8.95325959937188,-6.439442135805185,-6.131274942849155,-7.501406946953761,-9.520597177346326,-11.156793045423996,-12.087919083519859,-12.294555334027615,-10.664643386834717,-6.411361786476151,-1.3992275126104445,0.5756636052072861,-2.057391358788301,-6.829204172322502,-10.53330414068907,-12.424129800177836,-13.281424837118406,-13.20291571309521,-11.557572137022506,-8.304135453997196,-5.209170186530841,-5.483131237652551,-10.673898177752967,-17.111765276673253,-17.409345725981648,-7.548325224366991,7.850470252157187,18.26777353777658,16.083291040866172,4.023353871615058,-7.265156355112547,-9.620111136464356,-3.688428727972012,4.523986902285856,11.182654240771983,17.28549548414853,25.54811460598782,36.24378242475821,47.278482841379585,57.36758513010721,67.48822040453435,79.99460109646456,96.0426651123889,113.51034229832466,128.29987660890868,137.36032327561136,140.88923749
15kg_10bpm,12AB,-14.18884807,136.2765760050106,103.65033026401544,65.57254852356425,31.36646740431666,8.083182412925773,-3.6443858368871993,-8.13692609424137,-10.080613521414108,-10.937417907346106,-9.84042455630654,-6.78843785759729,-3.5189708757712355,-2.0339633069450476,-3.1594278913186398,-5.735000979127914,-7.502138491059505,-7.047843161790314,-5.198789984964803,-3.801286426815526,-3.7463488,-4.961668862931946,-7.254785400531223,-9.398410202370217,-9.44702441829171,-7.191738585031421,-5.490741137298533,-7.309591905615336,-11.821695277136966,-15.52214089149467,-16.66556299175228,-16.0390920302297,-14.577422893368137,-13.096538433670519,-13.104770023646186,-15.385045488581413,-18.25223364612337,-18.698184375588117,-16.444770525443367,-14.462605086217476,-14.49677994,-15.203698223763357,-15.131885916171383,-14.722972541402752,-15.231552994590139,-16.4899984820783,-16.329724556801484,-14.35741720623568,-13.82313439415066,-16.220276424983552,-17.131626204783533,-12.509047987898272,-6.1722496664761,-4.6308482247654466,-7.79294251388054,-9.70615694318649,-7.162137423334898,-3.8371135009358994,-5.088026375270374,-10.860163598548311,-15.747543089999986,-15.942169570904236,-13.022787713278497,-10.292258300235728,-8.654236124123916,-7.431889988275361,-6.801666654468778,-7.983705337407127,-11.622189782988206,-15.931650067965082,-17.200106755501185,-13.885218822230707,-10.101253229608622,-10.828468636113062,-14.753944905392544,-16.897402308567262,-15.353678344001537,-11.82144019691537,-7.9375182438097625,-4.574713709300598,-2.61385489,-1.7416764647815786,-0.8277493144173771,1.3699819357671688,6.203432686593812,14.788151818719278,26.376438775518302,37.37965223104322,44.36695284345086,46.93079568221181,47.78412688682098,51.591002830104216,61.8735102681279,78.61788203570254,98.75703710820103,118.31516739930875,134.26225916628263,145.06589777267476,151.04788024249956,154.21266587916062,156.11095896
15kg_10bpm,12BC,-13.58984471,-18.06454533671819,-18.819795356923134,-14.499170853897047,-8.374665539173181,-2.2982972337688032,35.777774224750644,138.31990942396297,109.13402604306033,74.39966881454568,41.47704581011611,12.676789511902479,-10.213786648675857,-25.368858760340665,-31.940032072918775,-31.20803239564566,-26.187894569329256,-20.166941674399908,-15.52372991280334,-13.021091421974536,-12.111249212842276,-11.981683064783192,-12.212677611464475,-12.828726000145025,-14.10634110429883,-16.05504522,-17.982490195940613,-18.99406989652354,-18.416776674273365,-16.136799508475008,-13.02930029948741,-10.359292580436115,-8.672730837071102,-7.5931351760374035,-6.633946483917802,-5.920757576958968,-5.929653511119509,-6.825004131003716,-8.222257310198955,-9.443920039853346,-9.914370850538077,-9.601762350988986,-9.153708447857394,-9.284866173439191,-10.134372400342157,-11.233696835392877,-11.765374711891466,-10.98513469257007,-8.992226758768721,-7.012045982539026,-6.37788774,-7.158667912243819,-8.078757300874747,-7.894230928304155,-6.7281491130894855,-5.724813904325932,-5.39385734272963,-5.179885225074123,-4.502977253141904,-3.63740663399387,-3.6033791347350865,-4.9737986330075605,-6.662080625073418,-6.499406913180831,-3.656429499476755,-0.08143582855782258,1.0364182880951225,-1.6717341968407888,-6.20660164251686,-9.032789929067325,-8.342017416912277,-5.410495395017183,-3.000229972305362,-2.736384734929551,-4.053450578342338,-4.958828650000001,-3.477367499071159,0.7711443451891437,5.534293582553094,6.891815861114097,2.487134576872016,-5.595692637955238,-11.78300129196916,-11.518635191859975,-4.7254160115799495,5.614150893813732,17.719178325790743,32.29969599546658,50.14619692045663,70.01435309503674,88.93185393835715,104.93136462790301,118.84854327578059,129.9020931717378,23.668607511062234,-9.357660098531118,-8.055858270268864,-7.89182954706468,-10.338466250830828,-12.358428798795396,-12.64229829
15kg_10bpm,13AB,149.19001651,132.26555420186494,111.86998428822181,90.73777472206206,70.07309730078613,49.84758131597135,30.73098281525973,15.085689206972205,5.346140988942259,1.578065266082079,0.6885411809694618,-1.9245643818840357,-7.855045825049575,-13.654062299374411,-13.737834446762031,-6.464166349556772,2.9077104771742692,6.5955041546944555,2.242103812431387,-5.413793508413965,-10.288714011153937,-9.58741549639166,-4.296150893354467,1.7574173504538888,2.7014416357575204,-5.150757606200512,-18.046997707025024,-26.098864262205396,-23.190832110064953,-13.478211409984421,-6.243607488870383,-6.5354382967564355,-12.198138566024051,-18.688222794851473,-23.42207650636601,-25.123070774868594,-23.056186356995937,-18.452157098482445,-14.008918451300405,-11.677798559210716,-11.804877583719005,-13.678082845145434,-16.05095863339197,-17.22780218141046,-15.918117501265982,-12.673759992809831,-10.376126255056768,-10.910775374714017,-12.123438548543735,-11.353467008835997,-9.869979872284146,-10.380471071194089,-12.471045599196467,-13.556025185668311,-12.291665846432371,-10.097687596739856,-9.198046167382694,-10.980610447764729,-14.180932096280301,-14.326839934698139,-9.13902914849832,-3.103951329697689,-2.297810096872505,-6.4377030703903095,-9.080105325627564,-6.518501918814214,-3.5672707155217624,-6.597702244284488,-13.211981904367354,-15.414407208732227,-10.591537710955325,-3.9389755353843654,-2.9102596692279796,-9.547612070597703,-17.886209448084443,-20.714726907564014,-17.741687603828957,-14.459760890317003,-13.21862208651132,-10.987129053356103,-6.841079030683015,-5.6604519367117705,-11.723462632259844,-21.736696826799264,-27.969866255404273,-25.8240506373179,-15.765692321866911,0.23102095306795245,21.41700114935957,45.54205042179757,67.01075818656422,79.43260638146005,81.14604407976547,78.52374113416226,80.78700174438927,92.54260811292033,113.20095768881481,139.84125675076405,166.42636402237412,183.97491727059153,-18.29770361
15kg_10bpm,13BC,146.3552235,129.07782696631764,107.0370790203226,81.11962426221653,54.257436177085005,30.077530345926277,10.938199767649289,-2.8642814265934877,-12.622513851075398,-19.833179672734236,-24.918220664633132,-27.313130883956173,-26.644048299115948,-23.59203313670409,-19.76033679636438,-16.743717528205835,-15.036753584678413,-14.089775064966911,-13.135727053578393,-11.621809176030032,-9.507091981888076,-7.267883571124026,-5.519087563076434,-4.714981989260449,-5.1896501420654575,-7.161470261665121,-10.367403285249825,-13.703932364029638,-15.623360531248636,-15.351162917418451,-13.427265294842982,-11.089175420210953,-9.303318904860406,-8.225281701691321,-7.462338111508446,-6.630997620793755,-5.539807474746056,-4.318996120337592,-3.6048249811317468,-4.1720847440168916,-6.1065773517443525,-8.569671930633618,-10.408920803701603,-10.883861403236192,-10.144451581195181,-9.12294880444474,-8.849018644293178,-9.694111741487278,-10.84712996925139,-10.666946165437523,-8.129158199820138,-4.18477107355611,-1.5419739398186416,-2.6717264231341895,-7.469765111941966,-12.934187037354071,-15.270397558687062,-12.586934046178017,-6.197209388060576,0.33636700585944534,3.71740631529831,3.0903824819957855,0.05304543926693557,-3.1323353704175005,-4.997194046344545,-5.088793426385413,-3.6015237833507956,-1.261192799795232,0.4106537588832784,-0.23847943548566516,-3.285796435041252,-6.568363008264843,-7.337421529286049,-4.7910217117185505,-0.7906799188151024,1.788561827079803,1.3781385541088442,-1.3113803190495439,-4.271571698337342,-5.913071962180313,-5.975092906777121,-5.011352200593276,-3.1270434771104783,0.7552864125748053,8.419999042857341,20.797970854007886,36.65874091634627,52.90934019704388,66.18508315448419,74.88801684142403,80.1409383662929,84.6913482580717,90.98856051060129,100.22356572680972,112.37818039163572,126.76149194307278,142.45824042659336,158.19083338703612,167.07153923098778,120.79409950811463,-15.62804122
