cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,64.57990922,49.117992939235265,28.696786109575097,8.060846715975641,-6.217833110245432,-10.453905292867503,-6.904173338655293,-1.3932727939081095,1.295197839648762,-0.33452043708998697,-4.688192663732329,-8.459672433063613,-9.275472921366573,-7.884641485876863,-7.944414002199762,-12.122509282488167,-18.442094563504398,-21.404346147983595,-17.556742276220742,-10.201146791186604,-6.858170353188522,-11.292862746810505,-18.293166123976192,-18.945462776023923,-11.080972138972136,-2.176362116212002,-2.392265410675161,-14.373901212684363,-29.83796568107294,-37.302261276218545,-32.79108306981591,-22.212939264297937,-13.860752596019209,-11.710821416167523,-14.821310624653158,-19.39438834095848,-21.807028248912978,-21.286630486436803,-19.642226287030912,-18.747158056343437,-19.024544742495284,-19.916793485404572,-20.57660361000904,-20.53580244797584,-19.28802671469758,-15.838919593899924,-10.826551540342072,-7.607017900300546,-8.085087523685141,-9.259849249045294,-6.54984489,0.6110091394504582,7.777097301072739,9.445315109166746,4.629705034569256,-1.4288684497984123,-3.0586254880623907,-0.6808586502979259,0.6698690788216579,-1.2120691133040964,-3.226433789812546,-1.9914315274696888,1.3322484349599817,1.8078085799770178,-3.2714183629606977,-10.368640686416724,-13.774621146400333,-11.931271095958412,-7.495170847605951,-3.305864010010835,-1.2881925038935889,-2.5571538193999053,-6.180605494333347,-10.032905915049612,-12.453514880855252,-11.660024324878878,-7.555842370474569,-4.050580662830059,-5.395420600176447,-11.191299374230846,-17.05049003488695,-19.20512668286329,-17.147878743879605,-13.231014918454616,-10.42603544507855,-9.746935837391156,-9.230804278803316,-6.50755017658914,-1.075419170562494,6.103457935899014,13.806356360890813,21.62987675504497,29.47499413900902,36.83398525534174,43.55147111808585,50.88782498181757,60.14411483812956,70.17389130186736,78.5152210550537,-5.0392505955443125,-3.79617727
7kg_10bpm,2AB,57.00501823,38.814689758420684,17.50530104753124,-0.9512640813365485,-11.832174928253062,-14.260572321661387,-10.974751615864996,-6.2051941962014405,-3.331514144218224,-3.467429419685062,-5.56226136696167,-7.969079353943972,-10.18695618237749,-12.903982323583719,-16.39425773279366,-19.275769319893758,-19.23425727629403,-15.11047766266143,-8.282443684235526,-2.2062130972859233,-0.14179533099379366,-2.851061411987442,-8.285369385588833,-12.999197133467543,-14.768691165920803,-14.341594538947096,-14.037237211415793,-15.104489249179547,-16.789397719783054,-17.65161665644138,-17.43827489361706,-17.34458489473621,-18.639968205905436,-21.305308900371045,-23.78537510091077,-24.12807343410044,-21.573687493301616,-17.321079248226763,-13.52743808115624,-11.04353264982161,-8.482838085849973,-4.242690874297465,0.9382419158098884,3.849906057211139,1.5415996717707352,-5.72047646811253,-14.096343606543364,-18.458907181290876,-15.995839979681506,-8.585258388406972,-1.0457804320360102,3.145066993377013,3.9781251551815497,3.488776246893285,3.2510632962116315,3.3267018176215357,2.8500946799730675,1.0832984437255595,-1.8543930009322689,-5.027519255628729,-6.948553524064703,-6.110601286239688,-2.5529523646039602,0.9965071589015063,0.6850930509377594,-5.092429118375276,-13.472664806015507,-18.835289960224863,-17.239361113341168,-10.053009043916987,-3.4822734172402265,-3.4568133266567282,-10.542188672334866,-19.722177617960956,-24.50621997005796,-21.33494859334152,-11.905625092710496,-2.401242551981994,0.39276771588232107,-5.71031987829701,-16.22747377167019,-23.508039934868748,-22.794308570122134,-15.640910134091389,-7.763979957007355,-3.5231113152770983,-2.0251211896779013,1.477323514246475,10.781446425196517,25.223477908211336,40.298525616113196,50.984928497290596,53.6071010681525,45.04042247783162,-28.519111144317474,-25.064837581031416,-22.32302412172504,-21.659264275405494,-23.379878616496853,-26.095780735042,-27.65982728
7kg_10bpm,3AB,57.29131653,35.40068637909735,13.205028383075378,-4.355140949676779,-14.640398146192009,-18.108216379934966,-16.96527005625678,-13.422365302432508,-9.10336933093989,-5.459008652074451,-3.9101916364702434,-5.135781339862256,-8.222364535495249,-11.005450074659384,-11.762733469805982,-10.80445686850527,-10.223315079703811,-11.733387913082094,-14.686420305212911,-16.44383874549888,-14.81009049860783,-10.371259833154092,-6.589275614436662,-7.200658461350534,-12.860177683991012,-20.295930598843128,-24.891117632375597,-24.402204123889142,-20.458436240055505,-16.43133564732112,-14.652641371954406,-15.575112589642146,-18.366753176481073,-21.490570321718003,-23.085583878964204,-21.82581584983232,-17.96926158588137,-13.21748564739441,-9.515991272333254,-8.088417300527087,-8.944656475781134,-10.755645601930281,-11.602735851572875,-10.337070957159526,-7.615354337458173,-5.449502453429874,-5.289996032743498,-6.02639666033201,-4.823353323141851,-0.6987729287023532,3.71875938,4.787112369489247,1.6690493981569854,-3.0001571350927567,-5.715000813692151,-4.963758719761426,-1.766551509762699,1.9301304337023384,4.86685374572812,6.441875737542323,6.03182112377684,3.208786965264392,-1.4912181043209785,-6.4848637950396215,-9.722309566788958,-9.703195308068024,-6.278452314402568,-0.9276829830445346,3.462464812279114,3.9712242836103804,-0.20587460516910233,-6.988227507332837,-12.983388103039532,-15.710206838818118,-14.552134788817442,-10.586310277835784,-6.285264222996403,-4.525081285985883,-6.66927714014389,-11.281208337514686,-15.141034917418052,-15.814652669245426,-13.198131801692693,-8.86491100360773,-4.445545495013866,-0.74034491080701,2.4790155868569275,6.431486421962591,12.612299226903122,21.220215058934173,30.28948016674567,36.7530635248867,38.754727340657944,37.265444232899654,35.577613545637945,37.008953645838076,42.849713665225586,52.09769862920607,62.724153486564916,72.8794192723381,81.16304272
7kg_10bpm,4AB,62.85882523,40.28783048335448,17.208505897746573,-1.4293000298279632,-13.15335839974927,-17.951262644486132,-17.4213783741209,-13.95004487203862,-10.00091137507897,-7.331805935104517,-6.407314088596261,-6.665041800018316,-7.582925296292916,-9.459958896652862,-12.821448953520434,-17.02859624615738,-19.656003967972858,-17.787024781809393,-10.941578898595772,-2.8132641189120204,0.9596949178891652,-2.1132059746972436,-9.17612001688381,-15.435219452325926,-18.704172093080143,-19.925394142898963,-20.383041546144916,-20.08334919113356,-18.75932932541404,-16.861662620042114,-15.157816324816274,-14.138162086853193,-13.858516547397441,-14.02527783189403,-14.13006740673479,-13.76390385202327,-13.091293597905668,-12.874270698124482,-13.657581442847464,-14.929008459473833,-15.320876563352554,-13.995259348932631,-11.69248692646998,-10.040445981386313,-9.990344304898294,-11.182896483825068,-12.361827712752438,-12.24431424787054,-10.5639035453522,-8.16495985923609,-6.254695597324772,-5.821972241894438,-7.071410181310786,-9.038502981365827,-9.812865457983984,-7.894092957036337,-3.400527897157875,1.9677498395704103,5.974537097959626,7.283830091253911,6.118036527613017,3.8529722638622754,2.141394188466048,1.4996554785149527,0.6535730298479719,-1.8344956849189278,-5.285308135167899,-6.980025071464197,-4.259153115448097,3.0501301614838954,11.09533843227285,13.271456367052973,4.503432626151541,-14.121259384866839,-34.393744892235404,-45.810137862057346,-42.74414351905902,-28.08681776069631,-10.927988004962252,-0.21852241553449753,0.9453433739291685,-3.9939373313062627,-8.966050910229233,-9.87647278469139,-6.4056069546553775,-0.26429283805712167,7.82768578461413,18.906585863523908,33.34731970165539,48.3237846528578,59.10769273284538,65.28405005263342,-23.86752210440311,-33.190432441864765,-41.92328783994728,-42.69036898309737,-36.732503865551074,-27.777218414478792,-20.210395390559995,-16.590381425339782,-16.93770069
7kg_10bpm,5AB,61.80187495,42.09977446784557,21.369815604225042,3.828709099447982,-7.463261014835406,-11.92582044,-11.578641436842933,-9.696596201968333,-8.923425175945093,-9.965445729053524,-11.37161793,-10.985499822923988,-8.189924632601176,-4.874613512937273,-4.043582736906548,-7.0705311899999845,-12.093411135407997,-15.173841150015448,-13.406222841493454,-7.288451834256985,-0.46808406000000014,2.759519216933784,0.16602892528908866,-7.098060908115214,-15.470917570525202,-21.561919420000002,-24.034382276625053,-23.60696488343112,-21.937653694581783,-20.662120753198284,-20.560513219999997,-21.039327239262274,-20.623576607958444,-18.422460893322278,-15.24451128294883,-12.91960712,-12.46225681211174,-13.204615514006662,-13.77827005502256,-13.443165612418506,-12.46599408,-11.529643948098133,-10.893202763724588,-10.281381951941832,-9.442941699327916,-8.41887149,-7.245378119990891,-5.821563771415366,-4.272510726730067,-3.0612266644796446,-2.62769444,-3.1024953332406806,-4.028862129801245,-4.499289798060442,-4.086324754980883,-3.3559107899999994,-3.1798530843308126,-3.4532970414784536,-2.861084249336249,-0.061668934600526734,4.572870399999948,8.287539550671239,7.947133880466033,3.0781906903328458,-3.18672127362969,-6.274678729999999,-3.825567452007275,2.27951982641154,7.578149032932929,8.489869924162718,4.5518741899999995,-1.9853804330318285,-8.208437586644461,-12.278959338083334,-13.824853072951592,-13.631315180000001,-13.091029940474828,-13.327658509300662,-14.540467865871515,-16.129604107766774,-17.30649874,-17.47800412739639,-16.165947040302225,-13.108272494640753,-8.635507651715388,-3.4761408600000605,2.134144073252317,8.729601222677427,16.79831253744353,25.815674072373827,34.00274036,38.94548800490061,39.12409897032775,35.799838101039505,33.193984888613755,35.75659541,44.95702775583645,58.54048594993913,72.51339746287736,83.4744855558661,89.55965103
7kg_10bpm,6AB,63.93585324,42.5547223195021,18.454099072612394,-4.000630369773542,-20.405911982817514,-27.90438168117283,-26.39771207014716,-18.717152998942716,-9.472264939956263,-2.9203729230715982,-1.092766050110458,-3.229806528954617,-6.7651422046084075,-9.105802224502611,-9.182810240883631,-7.96624415204364,-7.403990012646996,-8.485266407004682,-10.207599427529427,-10.428847421770547,-8.199572478531993,-5.196237858983867,-4.482084043251769,-7.83741363153072,-14.175703506364679,-20.59725818472134,-24.743191222524864,-25.927514414408368,-24.732411597339784,-22.19764976337381,-19.436825754195983,-17.47127753508231,-16.818897327768976,-17.25018371225066,-18.07455625392355,-18.715753286007047,-18.8037497257327,-17.79666046762166,-15.114908426420802,-10.863212107327877,-6.3827452667953555,-3.849373823607843,-4.780195856849391,-8.620237136900368,-12.817349704090141,-14.448457338262184,-12.265884218651914,-7.484687046054776,-2.6485132775613125,0.2615810500724793,0.91117802,0.40903358897398384,0.4619998547841731,2.336371101818911,5.882640843464142,9.194342733611533,9.544212822092524,5.4229889091842525,-1.8889616522116242,-8.834806583493428,-12.107671267579912,-11.001132230314091,-7.662719888358605,-5.092440865138936,-4.594238202061006,-5.034594676887503,-4.47458420247748,-2.2734659451013526,0.07170042977006022,0.14523134877396573,-3.086757068423405,-8.27888522064987,-12.795888527110286,-14.816818676322105,-14.599794608948253,-13.767979051910437,-13.572879261585808,-13.961887268990386,-14.005472168601614,-12.902519786805625,-10.51819785259189,-7.285466574871807,-3.839867014497048,-0.71815333870036,1.8910208238789026,4.346160659697219,7.421114857545923,11.746624353557749,17.256235999064863,23.051941941854146,27.812144651739573,30.496419733099827,30.742173502552685,28.892847489699633,26.145083531836967,24.43590216783981,25.903972193662725,32.107679545671616,43.080277952452604,56.97208653395725,70.83120196
7kg_10bpm,7AB,60.62648739,39.31512715982763,18.88869974074582,1.7082129624461024,-10.431130421737913,-16.71567889424336,-17.823390476321954,-15.603649497022873,-11.992822858712456,-8.369889353890535,-5.508339207019881,-3.6574620911474534,-3.0934796842122028,-4.497438926467055,-8.482255264521514,-14.209340732620909,-18.904324841138852,-19.430716935220723,-14.634644074229687,-6.805156397395234,-0.7176711623757454,-0.38486259786445026,-5.795979246694173,-12.76416818479313,-16.835374720127795,-16.846145014223996,-14.697579155399913,-13.133058738876581,-13.666638491553446,-15.58182086149882,-16.900756552997187,-16.755017758285433,-16.33060240590723,-17.018597761371467,-18.52578733738214,-19.2951327663093,-18.32755784628036,-16.244093012249014,-14.601031698377792,-14.095522390750336,-13.325986286160457,-10.06487387621986,-4.127825097725747,1.1561495510348034,1.1433879473486932,-5.694481845236949,-15.234321980037238,-20.350528163493294,-16.947020947765004,-7.533161890699109,1.1755452718572037,4.0012976650175505,0.8231945290824587,-4.56042922277611,-7.612554455461947,-5.948701516433036,-0.6547840961989095,4.5721585786943475,6.177781210486233,3.61674780079553,-0.321801865222169,-2.2778251320829437,-1.880481495790282,-2.0998568562710425,-5.2925473069734155,-9.99358555733907,-12.398596835761085,-10.335266658063466,-5.370320476708194,-0.9968873116973642,0.5305767200994219,-0.6444892441489606,-3.0913900735870503,-5.6056276244531835,-7.601533676968328,-9.161835581870742,-11.182053900123229,-14.731519915830424,-19.751645877074726,-24.62003077255379,-27.471342236281338,-27.855766663114235,-26.478513550511977,-23.631894106440296,-18.729369286570385,-11.015463478509753,-0.37063031253122286,12.153942299095894,24.156970904869993,32.75216254628924,36.078562191627505,34.318505628841955,29.788365868431818,25.935566809002577,25.60617720399556,30.081633177575878,39.61557006857272,53.54925638275684,69.5014523607136,83.58014296358824,92.15042179
7kg_10bpm,8AB,65.97398658,47.16941449975478,26.368113282605115,6.310070986239312,-9.831103149017794,-19.06009986045535,-20.442292798726562,-16.365081794105055,-10.733634767585249,-6.071491427932335,-2.6126851141196656,0.2506514941112178,2.2497247135724057,2.2580450095383284,-0.4057347591926193,-5.053330021088252,-9.920113817684783,-13.21266109776899,-14.253669447096554,-13.882858610821607,-13.739738760137488,-14.921105728708342,-16.87549881331059,-17.654793281330633,-15.987780410303392,-13.186178625390633,-12.272793583370065,-14.755202366701887,-18.782514500647075,-20.80863909208324,-19.348602494891956,-16.43565837479747,-14.841602636297512,-15.137027123186277,-15.781486045386862,-15.548489198470374,-15.122933782942308,-15.692531987697453,-16.612270313778502,-15.819381493167395,-12.638541746261996,-9.160320679407977,-8.038887900776276,-9.4527934280229,-11.062714510556019,-10.626479315126383,-8.0342200885033,-4.780887136345306,-2.2130041110280283,-0.807272408324246,-0.41106372,-0.48220348070118,-0.21403881450512477,0.8043363088853434,1.6414552104177698,0.570517636271571,-2.95431880271325,-6.742641755492618,-7.669423053318559,-5.1746420854132165,-1.9681400332320798,-1.0663523376331845,-2.8770481226853235,-5.187560547292149,-5.846334408336836,-5.14818231601261,-5.103163823344827,-6.56467135343742,-8.108095849072392,-8.153775903471542,-7.43690914334007,-8.498533200004099,-12.307065098536299,-16.48232419869058,-17.34044293836529,-13.355441320948445,-6.8157405952887435,-2.0828605130117324,-2.4505015682759654,-8.084671994359415,-16.08073077753002,-22.427500277092282,-24.464841803045502,-22.165616373888472,-17.447314030855253,-12.243696231310688,-7.046299081076332,-1.1822807416293077,5.948599172951955,14.203240645512993,22.423232923398217,28.562583092552515,30.872742139242302,29.633968002491006,27.425177519386118,27.667139409068213,32.86817597357533,43.64215852570505,58.52463455720818,74.43183909941646,87.72589345
7kg_10bpm,10AB,67.40096228,47.13739286203151,24.42804583005604,5.053350016969607,-8.712065211208975,-16.493312408906437,-18.31323007022547,-15.734529259149513,-11.789009062665865,-8.126744272992282,-3.937216745378524,0.5356793978354615,1.8029865429676704,-3.282163803547249,-12.147930141657499,-17.180828232652363,-13.855500401067696,-6.458217837596646,-3.7449250795934685,-8.687099627243132,-14.650280507536522,-13.889754594184618,-8.281003462180518,-6.764048530964246,-12.566261515656338,-19.27388954248987,-20.164308897319426,-15.757031875222413,-10.607626495975767,-7.992875630934341,-9.080422676901298,-13.22711207341625,-17.489282585769647,-18.288780943587078,-14.922170482682974,-10.49263374641454,-9.175899451938246,-12.01644852795619,-15.798521692109858,-16.948177973157264,-15.150858493530547,-13.031752015995691,-12.790390128004889,-14.214672634499356,-15.514464729858966,-15.553309999515939,-14.595125714655602,-12.970656461718107,-10.628168461821577,-7.816318025226701,-5.218082240000001,-3.048306571735232,-1.4347261127539008,-1.4943577500259368,-4.076835054675514,-7.336311323931535,-7.728586347659095,-4.794049260282605,-1.7879076553172364,-1.276496924438678,-2.6166397911206576,-3.3748388904913007,-1.8679543106111223,1.5446837435433867,6.03339646776566,10.791271755822667,11.69649812981026,2.7770619370412275,-17.047419186969574,-40.28752289077047,-53.2413967256132,-45.20427026025252,-17.23227190564555,17.26348504194328,39.25366627688874,35.750526027024684,9.437023069452877,-20.957259881697656,-32.90824906119616,-18.283800689781145,9.957627140928572,29.895954485568563,29.107134969360395,12.284714774432516,-5.5484799847890205,-11.019057127586617,-0.37230666714710714,19.877554647919485,37.43935603984433,42.561292636257754,35.275356090228705,24.534085048052138,20.870939369072623,29.07760506903154,45.88819473477792,62.9236971570048,72.02909205571595,70.04455228934843,60.78477048694211,52.391526440423945,-27.78360636
7kg_10bpm,11AB,67.42000467,38.01866278766606,8.09916680886402,-12.912030199639686,-21.263345397609008,-19.757925523844715,-14.034596407240064,-8.3882011262031,-4.478053218097038,-2.160607646730848,-0.9537889145692913,-0.8313679812934102,-1.95815005058585,-3.540825155559496,-3.9406393929564487,-3.0712479933940435,-3.5620745708832673,-7.981179888240558,-14.687548965039412,-18.279784910492836,-15.86189711,-11.045692637179984,-9.32793139040309,-11.111175041796368,-12.664941267957111,-13.153752229858807,-15.312719937063882,-19.022895797476906,-19.906221991512016,-15.582137665453144,-9.459864854697715,-6.560058737153959,-8.10772644296912,-11.545958464643226,-13.92144276324921,-14.77587350727149,-15.807304705458556,-17.35092904479415,-17.146359517841333,-14.016729409203647,-10.067121860000002,-8.539315823883966,-9.988242636651385,-11.427216885428328,-10.639690666670674,-8.532868230677098,-7.648738037031965,-8.88022039530516,-9.03343973082871,-5.630592762341106,-1.9060963777614233,-2.3181293212005194,-6.006394796920422,-8.390631531630246,-7.594596017398179,-5.9456768883029225,-6.030869380891462,-7.345341495158581,-6.7917724078601225,-1.5844323932231494,7.50301372,14.36098859178168,11.816691800086533,0.0369105301235313,-13.344219373118198,-23.124012082119396,-30.705623442156416,-36.62279683578455,-34.51055144243513,-17.952741125630194,7.473752345325411,26.438048602391806,27.87463676501932,13.536534929390283,-5.027221954558117,-16.01171939439074,-15.726482986609398,-9.873793271148692,-5.919128189478053,-5.6043765289911756,-5.865490340000001,-3.927578674198292,1.1795099177881707,9.22618799428803,18.08673400761508,23.961665854378246,23.85535451826499,18.28262129786899,11.380894768663062,8.072717350357888,10.790664034585886,18.58353668248697,28.346494762746563,36.8191755043755,41.9471100512678,43.92120448903487,44.99327654034696,47.501725937413326,52.636268505766836,59.87446262814167,66.89864916
