cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,63.20720982,36.987577657484124,13.153919544358537,-5.378930319762119,-18.255313497050537,-26.66100339,-31.67113668961773,-33.610924367365456,-32.79885249060926,-30.33995055412411,-28.06567662,-27.473964312035964,-28.652207845532068,-30.461877726852475,-31.43402329850079,-30.690106089999993,-28.666160401988858,-26.726487316934154,-25.878115586271488,-25.879738064179904,-25.632269210000004,-24.246867790550233,-21.652350482473988,-18.314230931165135,-14.520681389545874,-10.26425318,-5.919825740123765,-2.726646475299445,-2.0912373283287087,-4.257466068459672,-7.7918493199999785,-10.603244482994606,-11.422826411045495,-10.300659903388592,-8.141404949942197,-6.04545577,-4.7754428677297245,-4.500749730204898,-4.906020001175633,-5.450938604033659,-5.61668081,-5.236927376422355,-4.891638814276647,-5.745314336318578,-8.485168195052587,-12.17449327,-14.550813481884648,-13.891844980637622,-10.662208808411831,-7.174951951484054,-5.62789193,-6.5500875027233265,-8.710150186318414,-10.235070187178842,-9.893939817458437,-7.73647894,-4.772838986499942,-2.058208256694156,-0.3307534749118903,-0.16227209449538288,-1.8865766399999708,-5.1402504963010385,-8.739396035799913,-11.223176750508188,-11.48765452933175,-9.37010362,-5.986731981136805,-3.4369594466856666,-3.479482550423857,-5.968628814458119,-8.73451921,-9.288717927109309,-6.855586897034253,-2.7989397066566584,0.6550622702983281,2.1024206400000005,1.500765270564617,-0.44758718297661826,-2.9814530401004853,-5.58395002686891,-8.00325003,-10.05924249012817,-11.407891577784381,-11.471152841128106,-9.8339509647835,-6.573098530000044,-1.9157782664924854,4.256419648739064,12.269936082480655,21.759903755044146,31.234316459999995,38.931400977272794,44.216002297514066,48.11478287412032,52.36886961232879,57.59498282,62.1329707360529,63.1032779527538,68.17519276959938,-28.352263377715722,-20.78484221
7kg_10bpm,2BC,51.2861771,31.840091846070088,14.299283596657375,-0.17168980542787693,-11.295971306455213,-19.115244395996804,-23.72459421129506,-25.356597936781395,-24.646184870022218,-22.807258273145226,-21.422344560382573,-21.822571491594417,-24.38794427028304,-28.333065965091897,-32.2709156971359,-34.93532699903328,-35.56054580949681,-34.14987783369162,-31.474871416230496,-28.55216278690538,-25.98871319,-23.82134388305746,-21.700466382255755,-19.16728628228369,-15.985145155726414,-12.369041481485391,-8.981009487801979,-6.676998493679506,-6.005204778404248,-6.866897825450572,-8.484098350407345,-9.918520359028028,-10.647849431287423,-10.659263749869165,-10.193364602635954,-9.492596972339696,-8.66098602105195,-7.741743481618016,-6.91335991115063,-6.527418255871974,-6.80026177,-7.442165329288204,-7.702539650303927,-6.920435579054538,-5.122514673609638,-3.118937216338056,-1.9659304160823894,-2.251835611144783,-3.8295154969259575,-6.003474902136362,-7.914244141515386,-8.855969046998686,-8.411111310954626,-6.593250249513584,-3.976899162572902,-1.6102160821506768,-0.6730115416942464,-1.8435470469814992,-4.644764397349203,-7.634797047198024,-9.5528446,-10.231894187335483,-10.272349274783837,-9.907180574038536,-8.480358522630063,-5.327667160106485,-1.0200051731521071,2.6092259340317345,3.8326569351618147,2.397300916199246,-0.4542740993302288,-3.088225470054874,-4.574479163620499,-5.083738358961936,-5.4680588221061,-6.368524763157681,-7.609180874782223,-8.393851304306946,-7.98062240359402,-6.050229342086525,-2.47849827,2.899049796598931,10.024127781711165,18.0626194084153,25.304471907839606,29.92068438855644,31.061618186397197,29.414363938543307,26.886213697123104,25.71550995502459,27.629188755444638,33.4935547310804,43.216995754041825,55.53665785129383,68.04474538617612,77.76436374633523,82.40640413276151,82.31821596562881,78.8984313262474,31.205756691153766,-15.61954449
7kg_10bpm,3BC,49.58473153,27.848865183564982,7.500033272168654,-8.751781297162161,-19.698252776973952,-25.56339670041818,-27.523167993959227,-27.086896795824657,-25.669113295886362,-24.31724368918058,-23.562588713742542,-23.443653346991,-23.58806249930742,-23.520582978607464,-23.098421153038935,-22.5749156290071,-22.27718903794362,-22.32651833803534,-22.71565291172973,-23.285510487674888,-23.560703291289904,-22.839495591597412,-20.61767026080403,-17.005693681234707,-12.681071891916247,-8.52485732898814,-5.324641509984539,-3.612439594325,-3.606471688244589,-5.149615776698018,-7.671483120625558,-10.243732633143749,-11.799157617369422,-11.659042959833844,-10.038892224296482,-7.8991489348235895,-6.229522843117132,-5.417478002760335,-5.300479110571799,-5.725407784572001,-6.843755846783815,-8.773302441080109,-11.168945755633006,-13.158677087401676,-13.62514322816587,-11.845898661874743,-8.158136802299616,-3.9104996818554376,-0.6417558321827697,0.7490497916469242,0.3712066874338237,-0.981527096097623,-2.609026225387178,-4.289047368574201,-5.908760636676704,-7.075678720941999,-7.319516377136254,-6.565302096831461,-5.361361834989298,-4.573036713256206,-4.737571405036406,-5.558668460274473,-5.9037406336744676,-4.499000368564357,-1.0528657747544872,3.188641937058755,6.222246915723919,6.634650849164134,4.429334864868891,0.9787277023223744,-1.9363061691936676,-3.418733694687833,-3.9569878696297915,-4.714332734618262,-6.325983233857098,-8.194411919837703,-8.816821447544422,-6.91770657524791,-2.4579583938793528,3.2767763704605017,8.515880814366536,12.21454994723624,14.55914181897449,16.366004140653633,18.279626626693233,20.679065384352736,23.96447865147247,28.48272981194543,34.14491894189399,40.44353288854806,46.99624345219695,53.87901989022829,61.30494211776638,68.99714810021409,75.93840129620513,81.44536119218134,83.27434662948363,33.43115317360778,-12.218496989717968,-15.492111941205367,-13.22685886
7kg_10bpm,4BC,40.20895488,18.529743172070425,-0.8949487828207603,-16.554559443662352,-27.501500416533542,-33.264734704549525,-34.07788091817999,-31.06704215777525,-26.199291066812712,-21.771262100542103,-19.558234515793227,-20.14872476244009,-22.775695246775754,-25.742111819987816,-27.406014559910837,-27.220401680503173,-25.91622374275237,-24.72846845560052,-24.43028600749894,-24.73308454749665,-24.532656083013872,-22.831388164718664,-19.439413117367035,-14.999371120051125,-10.611227208323585,-7.3057347230575616,-5.606916214681533,-5.3283718155301525,-5.845699588268395,-6.530632649965513,-7.043989768287795,-7.388330518187866,-7.722315999964422,-8.128208761007656,-8.550849021317802,-8.857041407917606,-8.940043086544032,-8.864391241322197,-8.787987365275116,-8.94166010466188,-9.427428481654124,-10.002153847523974,-10.138525230026671,-9.469883417634758,-8.251173796041023,-7.30738281602371,-7.385715221459216,-8.46692900235945,-9.656228972825751,-9.826859232539183,-8.477067785695152,-5.945673065931728,-3.011179826562612,-0.4322235691290356,1.2149937497686765,1.5215284034386756,0.5044533893175298,-1.2818851536069829,-3.1522407546106437,-4.526512090021631,-4.854972957438392,-3.670442818271398,-0.9180820902181462,2.5729543329777513,5.012070306424337,4.520436470911339,0.6830355596686944,-4.594807723388724,-8.084603785408618,-7.524671326236422,-3.287429020255076,1.896146899332798,4.793218368816104,3.750608047172019,-0.3567979901068647,-4.853748949757982,-7.159106074201449,-6.510299247519137,-4.199018187460387,-2.1670091455858214,-1.21693638569818,-0.3978144394410489,1.974587909643788,6.668976436518201,12.664930295264082,17.744107492733477,19.964712233633723,18.860225245654163,15.96536721058852,14.438586314617877,17.50793854604734,26.5151427517607,40.05470025340426,54.85186413024662,67.576409102824,76.38604076369033,81.26678626660491,80.57830986666673,80.61788782912663,-21.452588503670896,-11.14742538
7kg_10bpm,5BC,48.55640585,29.359164653954583,11.355418415740042,-3.3723076527686007,-14.37758003218833,-22.205874879977987,-27.250050503835602,-29.507104533769137,-29.18281128270187,-27.078448808909204,-24.349590347919083,-21.956836783230326,-20.371227288384766,-19.599560949268284,-19.277361415928972,-18.989340644911138,-18.670884561004307,-18.668288465206825,-19.32129247809579,-20.49298555609486,-21.506777037134786,-21.575935730207974,-20.343476199556807,-18.20803583742543,-16.11219536008183,-14.773505300863793,-14.128247947820915,-13.464128672718887,-12.078539002014033,-9.865922532679937,-7.351678140255887,-5.324277757217305,-4.46914741492756,-5.112952522171128,-7.009745384201611,-9.364433040712504,-11.18932189033327,-11.75530484709158,-10.94000519098735,-9.173779495379385,-7.259100242725199,-5.910172616509827,-5.358839808625281,-5.403453245576462,-5.838226601738045,-6.677414693647539,-7.9254692326676786,-9.230232088479077,-9.950967584293878,-9.608518216019363,-8.226441092240615,-6.270823131745787,-4.179061664806796,-2.046118959846943,0.01268228223070813,1.2875995196752277,0.6694092724926202,-2.428179551727241,-7.2409587250372685,-11.663994275978222,-13.449672279091223,-11.80697471913746,-7.8608995493564064,-3.7501637566844606,-1.2719049298122098,-1.1133379535581787,-2.903662890943075,-5.53471402683314,-7.4414687062042395,-7.117464224736768,-4.094823446078581,0.4113563032186964,4.044235684399077,4.779962256951825,2.2710553138017677,-1.9927227659792135,-5.629777129977326,-6.69448026294607,-4.759578097374474,-1.1461747156229602,1.926055257697581,2.7861554511844346,1.4150402339699282,-0.5806810847506519,-0.908862747283796,2.249941275627795,9.280978169436388,18.925623205147076,29.077848132109832,37.96625947515131,44.941712335077966,50.61422263452153,56.22846360560469,61.60516790803603,76.9081693954202,-13.285421329471067,5.310250650228099,9.240208779886197,5.861162506484298,-3.913266686236489,-17.30504738
7kg_10bpm,6BC,54.31813697,36.38631203019865,16.61551455265907,-1.856140026971448,-16.720949856262305,-26.926949124045866,-32.39313793211245,-33.68550556201515,-31.91681607447096,-28.511885975820377,-24.903847810784804,-22.190843566936877,-20.84435100230804,-20.734634815536243,-21.32533944986303,-21.826084604260625,-21.54093197721866,-20.24851134659749,-18.44744729858271,-17.00617197473266,-16.403285478587552,-16.37318245694185,-16.129906881277087,-14.982062731834674,-12.852756013652689,-10.50016274,-8.838486998960335,-8.014937230176303,-7.404586541279379,-6.552424494023664,-5.875824285694026,-6.283993923161769,-7.974795594389445,-9.97621204906525,-10.931227781485715,-10.11547839913742,-7.6705280895288555,-4.625871322895305,-2.5668712690611035,-2.7474528164797136,-5.196416648928164,-8.714176474866841,-11.753962719350024,-13.153197421097753,-12.505083233757373,-10.448140519792751,-8.415067987675169,-7.599586459734206,-7.893309294399117,-7.90434837448005,-6.1620446,-2.5199113475186987,1.406190428286991,3.1631269598200196,1.2706790110198438,-3.23014570467674,-6.999764447021162,-6.946950943353447,-2.9511018779542173,1.9039593966052968,3.8998630690054426,1.8219926576447918,-2.0344708883201714,-4.233345100685438,-3.5673678499315153,-1.8591909432072218,-1.4782301243831364,-2.6765349597979937,-3.703744377081212,-3.0840933612135064,-1.26823962917299,-0.09327001029978678,-0.822367336220892,-2.76627449631818,-3.968147619111559,-3.16234196,-1.132482638751662,-0.23341252943195223,-2.213449760215967,-6.19420801110127,-8.932097449010437,-7.467697361014081,-1.614418823511778,6.269914769115154,13.52294729221267,18.905819990241618,22.547891057994715,25.112438961071575,27.628643434531927,31.621907254162164,38.34199646455847,47.4112088779874,56.51189118544256,62.905725857826575,65.64901501507896,66.42376564651498,65.16208951059745,45.4724649396658,-16.423616104095007,-9.60855056341359,-1.69037965
7kg_10bpm,7BC,71.47740647,47.048636081232566,21.93958978827815,-0.142093969402717,-16.596698553686835,-26.159980411145067,-29.26212556938492,-27.824110212053668,-24.450826978024264,-21.65296814889618,-21.146406360859025,-23.045474481202643,-25.692963438291365,-26.76272455675403,-25.083236174144247,-21.653754676826644,-18.798152049867074,-18.369046690430835,-20.155820846093935,-21.854440969815922,-20.98882653,-16.835828251598826,-10.907687789215558,-5.8028773505240645,-3.702031472316,-5.129302025472806,-8.682342807081715,-12.033833974858105,-13.529930036509601,-12.94477559001432,-11.010684143708517,-8.614901086311676,-6.34623979886926,-4.383174670756161,-2.746032363073732,-1.4771527588994056,-0.7745834704141857,-1.046253224265998,-2.665944022244387,-5.607069043827889,-9.09948778,-11.689003512135045,-12.133067352560552,-10.564179698986932,-8.669357089486498,-8.336040764280822,-9.783955947156759,-11.150873158919605,-10.305594842440591,-6.907029815872367,-2.794796921906865,-0.5292304728278955,-1.2813312105318286,-3.950199262664027,-6.393772839173479,-7.309613013848579,-6.647392061748852,-4.940905405820629,-2.8707380252794126,-1.2475821821191129,-0.88496445,-2.0722932592463237,-4.228904760998968,-6.027181830416444,-6.145463947506467,-4.3746560735311055,-1.9123033264392226,-0.3432379318629922,-0.2883921116413939,-1.1672925588776686,-1.993811970715112,-2.313101639242117,-2.501871256721695,-3.2932360763826694,-4.882365893871198,-6.3789780256350745,-6.3045395578957235,-3.9143061776817722,-0.06279841602206507,3.307360967061097,4.6042111,3.5177785648121964,1.0683609192908026,-0.8964837575627473,-0.5354291449336899,3.4125984029942935,11.30750216640269,22.235079833758046,34.010608045379485,44.00789388027515,50.37659343271403,52.66989731857436,49.503172123671455,14.58792710714836,-30.57531799275407,-33.78520720817253,-30.718969078490424,-21.70635173378351,-7.882649274453358,6.582172436738113,16.05632821
7kg_10bpm,8BC,71.18185025,49.15996026559569,25.493298999671374,5.678988128544136,-7.572284341977622,-14.892126726695809,-18.835368410149314,-21.680825249301673,-24.281046228498443,-26.265536758882703,-26.76100619969299,-25.243408315637698,-22.190383175974596,-19.040902363907865,-17.32782486476828,-17.706516677712965,-19.675266664886195,-21.681530422117277,-21.850837789717353,-19.04107208922215,-13.64262960245209,-7.457658564554853,-2.62973088100923,-0.475258066468689,-1.1706458602591983,-4.066394279238034,-8.050191182852156,-11.943938858357635,-14.6817817119162,-15.418084474957148,-13.894226510745355,-10.598927705049244,-6.807308052070144,-4.282332489085266,-4.312641032762831,-6.851331310844779,-10.457492226471697,-13.174759649500324,-13.80292944371053,-12.534562578988155,-10.628417574725587,-9.462994279943901,-9.462903133458658,-9.515041602495739,-7.8602420718026655,-4.02567017115686,0.24421661944776804,1.9303998161138989,-0.9991145425005487,-7.572025286469841,-13.94481521408346,-16.104690679160935,-12.724194050053494,-6.156092540326904,-0.7703550707973037,0.10167431508214625,-3.651842242126677,-8.953535330281316,-11.618245470786782,-9.251246157840601,-2.984417994362919,3.3084152279111922,5.648559626873805,2.8868725670338606,-2.6121378826573305,-7.23671046385128,-8.872997756419743,-7.628628729710534,-4.623874307510777,-0.9824450667424447,1.9719461954059692,2.6737913225390266,0.3644463846302478,-3.866239748956217,-7.718787616650975,-9.530635053772784,-9.19625357162383,-7.297681036004433,-4.3222872479319685,-0.9977847835667191,1.4300892281142195,2.0705284686355525,1.4085542061799223,0.891902212544422,1.6447913187105037,3.8853313266450535,7.26762924232958,11.495719921815354,16.77896051648558,23.707735450396413,32.31470542499514,41.004758978179254,47.05766835171975,48.83048789683117,47.518722487034964,46.56491512209982,49.43285792559972,57.79941363873513,71.38337845339055,89.77440117808135,4.41530229
7kg_10bpm,9BC,54.33136105,36.07017383876282,15.614964365536446,-1.9982250153976826,-14.02700384758988,-20.71102302,-23.588557358175635,-23.871376608303358,-22.325014949885276,-20.03550009230393,-18.50267024,-18.52302143909689,-19.46079749075259,-19.964649406538566,-19.225375294991153,-17.60296812,-16.16830294155532,-15.811080753977958,-16.22913641798897,-15.886507134746033,-13.69519149,-10.394734366524775,-7.735628708410351,-6.727070352567218,-7.025133111787318,-7.75389067,-8.559677621220397,-9.550053265000468,-10.60815269193094,-11.22891495256697,-11.08421176,-10.407889712404401,-9.526834869914781,-8.513986739680862,-7.389457885834855,-6.315730780000001,-5.363419174232934,-4.431584306279913,-3.6763640975028626,-3.7732197051874934,-5.41378887,-8.553500684659337,-12.16141804659304,-14.615712352615784,-14.479513687298482,-11.626965130000002,-7.6993691896446,-5.026736671507637,-4.965726191602987,-7.003459182234154,-9.15754909,-9.44522724855302,-7.1927553768271775,-3.547256911592736,-0.5588622949027188,0.44871253,-0.4483441441613737,-2.2775549250023746,-4.140546175357027,-5.529524753271961,-5.88998273,-4.700841747090856,-2.2683764836308096,-0.4367335541379137,-1.0467949671536672,-3.5785500699999995,-5.580718296164592,-5.424689278827036,-3.8084877604893084,-2.408349784929436,-2.19672058,-3.3204857469852573,-5.42311912171474,-7.407227798408631,-7.734021900351628,-5.887618729999999,-3.319031853703099,-2.1317671767542787,-2.7134090376502957,-3.4126766191345843,-2.64436781,-0.6902828681771905,1.0882934690008836,2.5001089542066706,4.916516472340251,9.49817114,15.81174099400635,22.262936129576815,27.71433534106229,32.162549410681436,35.96634104,38.735283715499946,39.45342523867132,38.62760774022995,39.433767931588086,45.45328122,57.561616068821934,73.31372974721224,88.68305404214182,99.8607734899414,103.91987369
7kg_10bpm,10BC,51.44603137,31.05284461309068,12.39838080838978,-2.58456647507972,-13.107506314176934,-19.152351858240735,-21.25974570104351,-20.53698208269595,-18.612245696777798,-17.336263948383678,-17.87221921522012,-19.781040510684065,-21.31137874754476,-20.972201878247205,-18.603798472052652,-15.142176272068356,-11.99225554453517,-10.464537195785573,-11.27939680408645,-14.136096477122356,-17.563084684846032,-19.630815319998305,-18.98283586010522,-15.526672119724322,-10.477487970482882,-5.678448845742762,-2.843885964152491,-2.7953652932168236,-5.0251015488709365,-8.096773345215933,-10.622963293346569,-11.89068608886456,-11.904772531976013,-10.911225648165189,-9.182704616749815,-7.136187550713155,-5.434194168119081,-4.7392902871722,-5.311990788749001,-6.878436310221392,-8.889603344553384,-10.843412405512119,-12.370707918101385,-12.89597523068192,-11.75181386785707,-9.100239859990413,-6.32372006409959,-5.1616344158496075,-6.527829755557714,-9.808198812021764,-12.981507552854799,-13.839729668684711,-11.252178751835855,-5.834005528870455,0.10971367087666886,3.6298558840040815,2.872081197053052,-1.5678258149137567,-6.954985884635618,-10.417819974670714,-10.617733131620872,-8.068042097468902,-4.490978502906986,-1.6756189711495924,-0.5499031133968926,-1.1009226330723285,-2.9738813986600285,-5.399608124238918,-6.904969586411733,-6.300185004703216,-4.204625297330583,-2.8293613044569654,-3.8897389304181655,-6.7771866251833055,-8.983633399754915,-8.370829731898228,-5.065658375629167,-1.3582143358335375,0.2362682720629166,-0.9376303574425329,-3.107064942111851,-3.8515866422841367,-2.341570114953452,0.4681529540037419,3.4642739944451595,6.6706833963501255,10.9869246610004,16.972068433014723,23.79321287745015,29.604521567566913,33.36388764563977,35.993192065208,39.5805509481466,45.78210295196158,55.01292310194071,66.43622896674816,77.9737612117812,86.79591944288525,100.03080997966758,-12.416018693877888,-9.13563004
