time,residual,w_smooth,w_rect
0.01,137.36635719,0.0,0.0
0.02,137.61782423,0.0,0.0
0.03,137.77925599,0.0,0.0
0.04,137.90194498,0.0,0.0
0.05,137.98453826,0.0,0.0
0.06,137.98478934,0.0,0.0
0.07,137.84963869,0.0,0.0
0.08,137.5548331,0.0,0.0
0.09,137.13167343,0.0,0.0
0.1,136.65755878,0.0,0.0
0.11,136.22394567,0.0,0.0
0.12,135.90964127,0.0,0.0
0.13,135.75836022,0.0,0.0
0.14,135.75822586,0.0,0.0
0.15,135.84815063,0.0,0.0
0.16,135.95382969,0.0,0.0
0.17,136.01847316,0.0,0.0
0.18,136.00904634,0.0,0.0
0.19,135.90878513,0.0,0.0
0.2,135.70830344,0.0,0.0
0.21,135.40224404,0.0,0.0
0.22,134.99942223,0.0,0.0
0.23,134.53816384,0.0,0.0
0.24,134.07918879,0.0,0.0
0.25,133.6705486,0.0,0.0
0.26,133.3191344,0.0,0.0
0.27,132.99620403,0.0,0.0
0.28,132.66864227,0.0,0.0
0.29,132.32811318,0.0,0.0
0.3,131.99652215,0.0,0.0
0.31,131.7164599,0.0,0.0
0.32,131.54637436,0.0,0.0
0.33,131.55077084,0.0,0.0
0.34,131.77096789,0.0,0.0
0.35,132.196047,0.0,0.0
0.36,132.7595992,0.0,0.0
0.37,133.3658087,0.0,0.0
0.38,133.92848179,0.0,0.0
0.39,134.39639677,0.0,0.0
0.4,134.75183394,0.0,0.0
0.41,134.99764709,0.0,0.0
0.42,135.15166479,0.0,0.0
0.43,135.2471049,0.0,0.0
0.44,135.32587003,0.0,0.0
0.45,135.41862635,0.0,0.0
0.46,135.52545975,0.0,0.0
0.47,135.62047367,0.0,0.0
0.48,135.68247969,0.0,0.0
0.49,135.72766583,0.0,0.0
0.5,135.81894047,0.0,0.0
0.51,136.04641006,0.0,0.0
0.52,136.49345827,0.0,0.0
0.53,137.20105817,0.0,0.0
0.54,138.14220096,0.0,0.0
0.55,139.21623178,0.0,0.0
0.56,140.26877141,0.0,0.0
0.57,141.1275837,0.0,0.0
0.58,141.64326886,0.0,0.0
0.59,141.73791705,0.0,0.0
0.6,141.44521695,0.0,0.0
0.61,140.90191528,0.0,0.0
0.62,140.29045875,0.0,0.0
0.63,139.7745476,0.0,0.0
0.64,139.45689753,0.0,0.0
0.65,139.36800983,0.0,0.0
0.66,139.4827072,0.0,0.0
0.67,139.74622541,0.0,0.0
0.68,140.08621463,0.0,0.0
0.69,140.40375255,0.0,0.0
0.7,140.56173626,0.0,0.0
0.71,140.38744977,0.0,0.0
0.72,139.69065858,0.0,0.0
0.73,138.299538,0.0,0.0
0.74,136.11206312,0.0,0.0
0.75,133.14642101,0.0,0.0
0.76,129.56756233,0.0,0.0
0.77,125.67034252,0.0,0.0
0.78,121.81621829,0.0,0.0
0.79,118.34863864,0.0,0.0
0.8,115.51847131,0.0,0.0
0.81,113.43944024,0.0,0.0
0.82,112.07747998,0.0,0.0
0.83,111.27577056,0.0,0.0
0.84,110.8060544,0.0,0.0
0.85,110.43492953,0.0,0.0
0.86,109.97640242,0.0,0.0
0.87,109.30784634,0.0,0.0
0.88,108.35218792,0.0,0.0
0.89,107.05267378,0.0,0.0
0.9,105.37066413,0.0,0.0
0.91,103.31636433,0.0,0.0
0.92,100.99428216,0.0,0.0
0.93,98.62643229,0.0,0.0
0.94,96.51982242,0.0,0.0
0.95,94.97498928,0.0,0.0
0.96,94.17010375,0.0,0.0
0.97,94.08163213,0.0,0.0
0.98,94.50030753,0.0,0.0
0.99,95.14643362,0.0,0.0
1.0,95.81614869,0.0,0.0
1.01,96.47604149,0.0,0.0
1.02,97.26460151,0.0,0.0
1.03,98.40277962,0.0,0.0
1.04,100.0477803,0.0,0.0
1.05,102.17605801,0.0,0.0
1.06,104.55717607,0.0,0.0
1.07,106.84148219,0.0,0.0
1.08,108.71775767,0.0,0.0
1.09,110.05799446,0.0,0.0
1.1,110.97891692,0.0,0.0
1.11,111.78794289,0.0,0.0
1.12,112.82460803,0.0,0.0
1.13,114.26526213,0.0,0.0
1.14,115.99972147,0.0,0.0
1.15,117.66559099,0.0,0.0
1.16,118.8467988,0.0,0.0
1.17,119.33739689,0.0,0.0
1.18,119.31040018,0.0,0.0
1.19,119.29054501,0.0,0.0
1.2,119.95159996,0.0,0.0
1.21,121.84854104,0.0,0.0
1.22,125.19607486,0.0,0.0
1.23,129.77944079,0.0,0.0
1.24,135.0169454,0.0,0.0
1.25,140.13959898,0.0,0.0
1.26,144.43593282,0.0,0.0
1.27,147.47497585,0.0,0.0
1.28,149.23773278,0.0,0.0
1.29,150.11405712,0.0,0.0
1.3,150.76024338,0.0,0.0
1.31,151.86181643,0.0,0.0
1.32,153.88080616,0.0,0.0
1.33,156.88092278,0.0,0.0
1.34,160.49894303,0.0,0.0
1.35,164.05722295,0.0,0.0
1.36,166.7545916,0.0,0.0
1.37,167.87125008,0.0,0.0
1.38,166.94831403,0.0,0.0
1.39,163.91885197,0.0,0.0
1.4,159.16491489,0.0,0.0
1.41,153.47069542,0.0,0.0
1.42,147.86025817,0.0,0.0
1.43,143.35780765,0.0,0.0
1.44,140.74657758,0.0,0.0
1.45,140.39138708,0.0,0.0
1.46,142.16696174,0.0,0.0
1.47,145.51080274,0.0,0.0
1.48,149.58934907,0.0,0.0
1.49,153.53757751,0.0,0.0
1.5,156.69851507,0.0,0.0
1.51,158.76126585,0.0,0.0
1.52,159.7415675,0.0,0.0
1.53,159.8540346,0.0,0.0
1.54,159.38355865,0.0,0.0
1.55,158.6215674,0.0,0.0
1.56,157.8544785,0.0,0.0
1.57,157.36925331,0.0,0.0
1.58,157.45303227,0.0,0.0
1.59,158.35794714,0.0,0.0
1.6,160.21455117,0.0,0.0
1.61,162.92637032,0.0,0.0
1.62,166.09961869,0.0,0.0
1.63,169.05803205,0.0,0.0
1.64,171.0147187,0.0,0.0
1.65,171.3984082,0.0,0.0
1.66,170.13398388,0.0,0.0
1.67,167.66568973,0.0,0.0
1.68,164.74115765,0.0,0.0
1.69,162.10959977,0.0,0.0
1.7,160.25922229,0.0,0.0
1.71,159.28512197,0.0,0.0
1.72,158.92904725,0.0,0.0
1.73,158.73624431,0.0,0.0
1.74,158.23375461,0.0,0.0
1.75,157.07301014,0.0,0.0
1.76,155.1056258,0.0,0.0
1.77,152.38647117,0.0,0.0
1.78,149.1485772,0.0,0.0
1.79,145.7809994,0.0,0.0
1.8,142.77192457,0.0,0.0
1.81,140.57431808,0.0,0.0
1.82,139.4269319,0.0,0.0
1.83,139.21507681,0.0,0.0
1.84,139.43868064,0.0,0.0
1.85,139.31009701,0.0,0.0
1.86,137.93548415,0.010050230702437898,1.0
1.87,134.48661522,0.04820831668044402,1.0
1.88,128.31375625,0.11031770559284801,1.0
1.89,119.02892045,0.19156989045383782,1.0
1.9,106.60680113,0.2871563642775975,1.0
1.91,91.48426939,0.39226862007831204,1.0
1.92,74.58251554,0.5020981508701667,1.0
1.93,57.19908314,0.6118364496673464,1.0
1.94,40.76210258,0.7166750094840365,1.0
1.95,26.50278515,0.8118053233344222,1.0
1.96,15.18906925,0.8924188842326881,1.0
1.97,7.04332,0.9537071851930197,1.0
1.98,1.82329944,0.9908617192296021,1.0
1.99,-1.03794897,1.0,1.0
2.0,-2.29109067,1.0,1.0
2.01,-2.72476565,1.0,1.0
2.02,-3.0125724,1.0,1.0
2.03,-3.57878237,1.0,1.0
2.04,-4.53210378,1.0,1.0
2.05,-5.70757463,1.0,1.0
2.06,-6.79823,1.0,1.0
2.07,-7.50760914,1.0,1.0
2.08,-7.66614034,1.0,1.0
2.09,-7.28694682,1.0,1.0
2.1,-6.54775545,1.0,1.0
2.11,-5.69550897,1.0,1.0
2.12,-4.91253706,1.0,1.0
2.13,-4.22751345,1.0,1.0
2.14,-3.53865101,1.0,1.0
2.15,-2.74101982,1.0,1.0
2.16,-1.88016273,1.0,1.0
2.17,-1.23703771,1.0,1.0
2.18,-1.28179077,1.0,1.0
2.19,-2.49614486,1.0,1.0
2.2,-5.14379852,1.0,1.0
2.21,-9.09862323,1.0,1.0
2.22,-13.81992389,1.0,1.0
2.23,-18.48991245,1.0,1.0
2.24,-22.26047922,1.0,1.0
2.25,-24.50776693,1.0,1.0
2.26,-24.99768203,1.0,1.0
2.27,-23.9223078,1.0,1.0
2.28,-21.8119061,1.0,1.0
2.29,-19.35469243,1.0,1.0
2.3,-17.16569558,1.0,1.0
2.31,-15.57394642,1.0,1.0
2.32,-14.5412645,1.0,1.0
2.33,-13.77581941,1.0,1.0
2.34,-12.94900303,1.0,1.0
2.35,-11.86631466,1.0,1.0
2.36,-10.52395048,1.0,1.0
2.37,-9.0277508,1.0,1.0
2.38,-7.53141776,1.0,1.0
2.39,-6.20421271,1.0,1.0
2.4,-5.22525097,1.0,1.0
2.41,-4.79265278,1.0,1.0
2.42,-5.12711501,1.0,1.0
2.43,-6.40066333,1.0,1.0
2.44,-8.56562427,1.0,1.0
2.45,-11.20479338,1.0,1.0
2.46,-13.56293817,1.0,1.0
2.47,-14.75646579,1.0,1.0
2.48,-14.04549026,1.0,1.0
2.49,-11.10956403,1.0,1.0
2.5,-6.26349707,1.0,1.0
2.51,-0.48189651,1.0,1.0
2.52,4.82029136,1.0,1.0
2.53,8.17652133,1.0,1.0
2.54,8.51976073,1.0,1.0
2.55,5.54887632,1.0,1.0
2.56,-0.16401969,1.0,1.0
2.57,-7.37834102,1.0,1.0
2.58,-14.59467479,1.0,1.0
2.59,-20.49797676,1.0,1.0
2.6,-24.2793887,1.0,1.0
2.61,-25.74880702,1.0,1.0
2.62,-25.24281406,1.0,1.0
2.63,-23.41676495,1.0,1.0
2.64,-21.016324,1.0,1.0
2.65,-18.68962726,1.0,1.0
2.66,-16.87363029,1.0,1.0
2.67,-15.76873628,1.0,1.0
2.68,-15.37137991,1.0,1.0
2.69,-15.51838243,1.0,1.0
2.7,-15.95052702,1.0,1.0
2.71,-16.41791205,1.0,1.0
2.72,-16.79171693,1.0,1.0
2.73,-17.12348143,1.0,1.0
