time,residual,w_smooth,w_rect
0.01,63.2153675,0.0,0.0
0.02,60.42673917,0.0,0.0
0.03,57.89252304,0.0,0.0
0.04,55.66815244,0.0,0.0
0.05,53.77710426,0.0,0.0
0.06,52.22946864,0.0,0.0
0.07,51.05138231,0.0,0.0
0.08,50.30754073,0.0,0.0
0.09,50.09719742,0.0,0.0
0.1,50.52690936,0.0,0.0
0.11,51.67567491,0.0,0.0
0.12,53.55810337,0.0,0.0
0.13,56.08942554,0.0,0.0
0.14,59.06430249,0.0,0.0
0.15,62.16515922,0.0,0.0
0.16,65.01095477,0.0,0.0
0.17,67.23569601,0.0,0.0
0.18,68.5672932,0.0,0.0
0.19,68.88164162,0.0,0.0
0.2,68.21804041,0.0,0.0
0.21,66.75243429,0.0,0.0
0.22,64.739679,0.0,0.0
0.23,62.44707777,0.0,0.0
0.24,60.10291246,0.0,0.0
0.25,57.87540259,0.0,0.0
0.26,55.8809703,0.0,0.0
0.27,54.20477848,0.0,0.0
0.28,52.91503531,0.0,0.0
0.29,52.06428166,0.0,0.0
0.3,51.68117989,0.0,0.0
0.31,51.758043,0.0,0.0
0.32,52.23607249,0.0,0.0
0.33,52.9987161,0.0,0.0
0.34,53.88815268,0.0,0.0
0.35,54.74408838,0.0,0.0
0.36,55.44559748,0.0,0.0
0.37,55.93352506,0.0,0.0
0.38,56.20400911,0.0,0.0
0.39,56.28624505,0.0,0.0
0.4,56.22756444,0.0,0.0
0.41,56.09266049,0.0,0.0
0.42,55.96395312,0.0,0.0
0.43,55.92829856,0.0,0.0
0.44,56.04991496,0.0,0.0
0.45,56.34461462,0.0,0.0
0.46,56.77400317,0.0,0.0
0.47,57.26370594,0.0,0.0
0.48,57.72862827,0.0,0.0
0.49,58.08919244,0.0,0.0
0.5,58.28467707,0.0,0.0
0.51,58.29179594,0.0,0.0
0.52,58.13227643,0.0,0.0
0.53,57.8561075,0.0,0.0
0.54,57.51864715,0.0,0.0
0.55,57.17143181,0.0,0.0
0.56,56.86007416,0.0,0.0
0.57,56.6202737,0.0,0.0
0.58,56.48049197,0.0,0.0
0.59,56.4730639,0.0,0.0
0.6,56.63644326,0.0,0.0
0.61,56.99988616,0.0,0.0
0.62,57.56478756,0.0,0.0
0.63,58.29617515,0.0,0.0
0.64,59.12269075,0.0,0.0
0.65,59.94175427,0.0,0.0
0.66,60.63338817,0.0,0.0
0.67,61.08275306,0.0,0.0
0.68,61.20264038,0.0,0.0
0.69,60.95089998,0.0,0.0
0.7,60.34501442,0.0,0.0
0.71,59.46535116,0.0,0.0
0.72,58.43573221,0.0,0.0
0.73,57.39265905,0.0,0.0
0.74,56.46234288,0.0,0.0
0.75,55.74493933,0.0,0.0
0.76,55.29689872,0.0,0.0
0.77,55.11882389,0.0,0.0
0.78,55.16113259,0.0,0.0
0.79,55.34633212,0.0,0.0
0.8,55.59867132,0.0,0.0
0.81,55.869587,0.0,0.0
0.82,56.14947423,0.0,0.0
0.83,56.4647709,0.0,0.0
0.84,56.86497232,0.0,0.0
0.85,57.39748258,0.0,0.0
0.86,58.07174315,0.0,0.0
0.87,58.83056167,0.0,0.0
0.88,59.54612271,0.0,0.0
0.89,60.04494879,0.0,0.0
0.9,60.15627725,0.0,0.0
0.91,59.76567876,0.0,0.0
0.92,58.85204,0.0,0.0
0.93,57.50005971,0.0,0.0
0.94,55.88944201,0.0,0.0
0.95,54.26182,0.0,0.0
0.96,52.8752116,0.0,0.0
0.97,51.96091049,0.0,0.0
0.98,51.68863045,0.0,0.0
0.99,52.13926613,0.0,0.0
1.0,53.2881393,0.0,0.0
1.01,55.00332251,0.0,0.0
1.02,57.06244513,0.0,0.0
1.03,59.18959303,0.0,0.0
1.04,61.10762475,0.0,0.0
1.05,62.59086052,0.0,0.0
1.06,63.497455,0.0,0.0
1.07,63.77284269,0.0,0.0
1.08,63.43644655,0.0,0.0
1.09,62.56607943,0.0,0.0
1.1,61.28587401,0.0,0.0
1.11,59.75759958,0.0,0.0
1.12,58.17142003,0.0,0.0
1.13,56.73008086,0.0,0.0
1.14,55.6220855,0.0,0.0
1.15,54.98643056,0.0,0.0
1.16,54.88237824,0.0,0.0
1.17,55.28172959,0.0,0.0
1.18,56.09348051,0.0,0.0
1.19,57.21570344,0.0,0.0
1.2,58.59490138,0.0,0.0
1.21,60.26602514,0.0,0.0
1.22,62.35033471,0.0,0.0
1.23,65.00652892,0.0,0.0
1.24,68.35781422,0.0,0.0
1.25,72.43350422,0.0,0.0
1.26,77.15037219,0.0,0.0
1.27,82.32421427,0.0,0.0
1.28,87.68637996,0.0,0.0
1.29,92.90286694,0.0,0.0
1.3,97.61506396,0.0,0.0
1.31,101.51247619,0.0,0.0
1.32,104.4153185,0.0,0.0
1.33,106.31525587,0.0,0.0
1.34,107.34150281,0.0,0.0
1.35,107.6721421,0.0,0.0
1.36,107.4349432,0.0,0.0
1.37,106.63522273,0.0,0.0
1.38,105.13747334,0.0,0.0
1.39,102.70909113,0.0,0.0
1.4,99.11090102,0.0,0.0
1.41,94.20148722,0.0,0.0
