time,residual,w_smooth,w_rect
0.01,139.72192279,0.0,0.0
0.02,138.61788103,0.0,0.0
0.03,136.68618158,0.0,0.0
0.04,134.13180233,0.0,0.0
0.05,131.4460085,0.0,0.0
0.06,129.27135672,0.0,0.0
0.07,128.21142151,0.0,0.0
0.08,128.65350408,0.0,0.0
0.09,130.67163637,0.0,0.0
0.1,134.03341852,0.0,0.0
0.11,138.27519573,0.0,0.0
0.12,142.78894522,0.0,0.0
0.13,146.89229734,0.0,0.0
0.14,149.89747647,0.0,0.0
0.15,151.22418696,0.0,0.0
0.16,150.58170452,0.0,0.0
0.17,148.1633098,0.0,0.0
0.18,144.71908669,0.0,0.0
0.19,141.39336334,0.0,0.0
0.2,139.33868567,0.0,0.0
0.21,139.25876193,0.0,0.0
0.22,141.10694439,0.0,0.0
0.23,144.12100429,0.0,0.0
0.24,147.18449285,0.0,0.0
0.25,149.30377476,0.0,0.0
0.26,149.95867898,0.0,0.0
0.27,149.20284797,0.0,0.0
0.28,147.52682691,0.0,0.0
0.29,145.58893236,0.0,0.0
0.3,143.95058527,0.0,0.0
0.31,142.91847227,0.0,0.0
0.32,142.52455566,0.0,0.0
0.33,142.61121427,0.0,0.0
0.34,142.95528662,0.0,0.0
0.35,143.36383159,0.0,0.0
0.36,143.71357508,0.0,0.0
0.37,143.9491093,0.0,0.0
0.38,144.06425494,0.0,0.0
0.39,144.08091398,0.0,0.0
0.4,144.03236759,0.0,0.0
0.41,143.94987388,0.0,0.0
0.42,143.85175567,0.0,0.0
0.43,143.74261518,0.0,0.0
0.44,143.62587672,0.0,0.0
0.45,143.518658,0.0,0.0
0.46,143.45391362,0.0,0.0
0.47,143.46526147,0.0,0.0
0.48,143.56136891,0.0,0.0
0.49,143.70433228,0.0,0.0
0.5,143.81117088,0.0,0.0
0.51,143.78997607,0.0,0.0
0.52,143.59092295,0.0,0.0
0.53,143.23669236,0.0,0.0
0.54,142.81462962,0.0,0.0
0.55,142.43003478,0.0,0.0
0.56,142.13756609,0.0,0.0
0.57,141.88994121,0.0,0.0
0.58,141.54265024,0.0,0.0
0.59,140.92552961,0.0,0.0
0.6,139.95059612,0.0,0.0
0.61,138.69064038,0.0,0.0
0.62,137.37044735,0.0,0.0
0.63,136.26961513,0.0,0.0
0.64,135.59471396,0.0,0.0
0.65,135.3939255,0.0,0.0
0.66,135.55736308,0.0,0.0
0.67,135.8919366,0.0,0.0
0.68,136.22093619,0.0,0.0
0.69,136.45354801,0.0,0.0
0.7,136.5886928,0.0,0.0
0.71,136.66348967,0.0,0.0
0.72,136.69749318,0.0,0.0
0.73,136.67930866,0.0,0.0
0.74,136.5998323,0.0,0.0
0.75,136.49671134,0.0,0.0
0.76,136.46541922,0.0,0.0
0.77,136.62147496,0.0,0.0
0.78,137.04129438,0.0,0.0
0.79,137.72657907,0.0,0.0
0.8,138.6178254,0.0,0.0
0.81,139.6437281,0.0,0.0
0.82,140.76108507,0.0,0.0
0.83,141.94658054,0.0,0.0
0.84,143.14995392,0.0,0.0
0.85,144.25710089,0.0,0.0
0.86,145.10200705,0.0,0.0
0.87,145.52330564,0.0,0.0
0.88,145.43139035,0.0,0.0
0.89,144.85555189,0.0,0.0
0.9,143.95247194,0.0,0.0
0.91,142.96892085,0.0,0.0
0.92,142.17183682,0.0,0.0
0.93,141.77730394,0.0,0.0
0.94,141.90312721,0.0,0.0
0.95,142.55308386,0.0,0.0
0.96,143.63556588,0.0,0.0
0.97,145.01159781,0.0,0.0
0.98,146.54575364,0.0,0.0
0.99,148.12794928,0.0,0.0
1.0,149.66189885,0.0,0.0
1.01,151.03906234,0.0,0.0
1.02,152.116288,0.0,0.0
1.03,152.71198326,0.0,0.0
1.04,152.63594385,0.0,0.0
1.05,151.74857519,0.0,0.0
1.06,150.01621761,0.0,0.0
1.07,147.53317821,0.0,0.0
1.08,144.51142639,0.0,0.0
1.09,141.25516058,0.0,0.0
1.1,138.12625377,0.0,0.0
1.11,135.4855263,0.0,0.0
1.12,133.6020273,0.0,0.0
1.13,132.56525035,0.0,0.0
1.14,132.25445334,0.0,0.0
1.15,132.38612252,0.0,0.0
1.16,132.61575945,0.0,0.0
1.17,132.65229322,0.0,0.0
1.18,132.34890192,0.0,0.0
1.19,131.74297944,0.0,0.0
1.2,131.02972555,0.0,0.0
1.21,130.48334693,0.0,0.0
1.22,130.36681237,0.0,0.0
1.23,130.86459613,0.0,0.0
1.24,132.04794243,0.0,0.0
1.25,133.86558417,0.0,0.0
1.26,136.14278247,0.0,0.0
1.27,138.57760466,0.0,0.0
1.28,140.75179403,0.0,0.0
1.29,142.17936754,0.0,0.0
1.3,142.38997092,0.0,0.0
1.31,141.02913651,0.0,0.0
1.32,137.95960375,0.0,0.0
1.33,133.33564696,0.0,0.0
1.34,127.60494802,0.0,0.0
1.35,121.41056321,0.0,0.0
1.36,115.42316589,0.0,0.0
1.37,110.18198985,0.0,0.0
1.38,106.0022106,0.0,0.0
1.39,102.94819547,0.0,0.0
1.4,100.84843433,0.0,0.0
1.41,99.37293878,0.0,0.0
1.42,98.13741343,0.0,0.0
1.43,96.80968719,0.0,0.0
1.44,95.16713937,0.0,0.0
1.45,93.09805517,0.0,0.0
1.46,90.57194343,0.0,0.0
1.47,87.60369298,0.0,0.0
1.48,84.27939356,0.0,0.0
1.49,80.68313445,0.0,0.0
1.5,76.75448839,0.0,0.0
1.51,72.60059196,0.0,0.0
1.52,68.46243946,0.0,0.0
1.53,64.70613462,0.0,0.0
1.54,61.80736657,0.0,0.0
1.55,60.27813763,0.0,0.0
1.56,60.51898405,0.0,0.0
1.57,62.67253858,0.0,0.0
1.58,66.54997612,0.0,0.0
1.59,71.70748086,0.0,0.0
1.6,77.59178684,0.0,0.0
1.61,83.66842652,0.0,0.0
1.62,89.64323774,0.0,0.0
1.63,95.41958876,0.0,0.0
1.64,101.19042828,0.0,0.0
1.65,107.44425756,0.0,0.0
1.66,114.81066735,0.0,0.0
1.67,123.7423359,0.0,0.0
1.68,134.25476242,0.0,0.0
1.69,145.78105549,0.0,0.0
1.7,157.29060851,0.0,0.0
1.71,167.58460571,0.0,0.0
1.72,175.65451988,0.0,0.0
1.73,181.00879564,0.0,0.0
1.74,183.87372645,0.0,0.0
1.75,185.13369405,0.0,0.0
1.76,185.98166547,0.0,0.0
1.77,187.45935009,0.0,0.0
1.78,190.1243528,0.0,0.0
1.79,193.98683186,0.0,0.0
1.8,198.68776888,0.0,0.0
1.81,203.75684238,0.0,0.0
1.82,208.85557014,0.0,0.0
1.83,213.91161427,0.0,0.0
1.84,219.0643405,0.0,0.0
1.85,224.41301813,0.0,0.0
1.86,229.68801693,0.0,0.0
1.87,234.08438517,0.0,0.0
1.88,236.44119376,0.0,0.0
1.89,235.67950894,0.0,0.0
1.9,231.23578676,0.0,0.0
1.91,223.318669,0.0,0.0
1.92,212.908355,0.0,0.0
1.93,201.46359612,0.0,0.0
1.94,190.4542953,0.0,0.0
1.95,180.92202662,0.0,0.0
1.96,173.2213624,0.0,0.0
1.97,167.04688857,0.0,0.0
1.98,161.72952204,0.0,0.0
1.99,156.61360397,0.0,0.0
2.0,151.29905338,0.0,0.0
2.01,145.65866176,0.0,0.0
2.02,139.68307581,0.008487041927003341,1.0
2.03,133.27389624,0.04419972816418211,1.0
2.04,126.10569031,0.10357024055669105,1.0
2.05,117.64123675,0.18198996119897828,1.0
2.06,107.30212942,0.27485027218550395,1.0
2.07,94.70826454,0.37754255561071315,1.0
2.08,79.87110789,0.4854581935690685,1.0
2.09,63.27896201,0.5939885681550134,1.0
2.1,45.8756247,0.698525061463011,1.0
2.11,28.92540695,0.7944590555875051,1.0
2.12,13.75823746,0.8771819326229573,1.0
2.13,1.46782833,0.9420850746638143,1.0
2.14,-7.33385036,0.9845598638045343,1.0
2.15,-12.64785366,0.9999976821395675,1.0
2.16,-15.06926052,1.0,1.0
2.17,-15.59788657,1.0,1.0
2.18,-15.32864909,1.0,1.0
2.19,-15.15306214,1.0,1.0
2.2,-15.59043731,1.0,1.0
2.21,-16.75967457,1.0,1.0
2.22,-18.44644708,1.0,1.0
2.23,-20.25099494,1.0,1.0
2.24,-21.80878342,1.0,1.0
2.25,-22.95678832,1.0,1.0
2.26,-23.76258532,1.0,1.0
2.27,-24.41406039,1.0,1.0
2.28,-25.0749184,1.0,1.0
2.29,-25.78533223,1.0,1.0
2.3,-26.42884601,1.0,1.0
2.31,-26.77222705,1.0,1.0
2.32,-26.56775079,1.0,1.0
2.33,-25.66455015,1.0,1.0
2.34,-24.05380868,1.0,1.0
2.35,-21.86490281,1.0,1.0
2.36,-19.33932935,1.0,1.0
2.37,-16.79305921,1.0,1.0
2.38,-14.55422364,1.0,1.0
2.39,-12.88189926,1.0,1.0
2.4,-11.90732175,1.0,1.0
2.41,-11.63640004,1.0,1.0
2.42,-11.98547661,1.0,1.0
2.43,-12.79152815,1.0,1.0
2.44,-13.81101271,1.0,1.0
2.45,-14.76940747,1.0,1.0
2.46,-15.44800157,1.0,1.0
2.47,-15.72675045,1.0,1.0
2.48,-15.56098162,1.0,1.0
2.49,-14.94466158,1.0,1.0
2.5,-13.90606958,1.0,1.0
2.51,-12.54225176,1.0,1.0
2.52,-11.05154884,1.0,1.0
2.53,-9.70824242,1.0,1.0
2.54,-8.78782787,1.0,1.0
2.55,-8.50273875,1.0,1.0
2.56,-8.96005554,1.0,1.0
2.57,-10.15524099,1.0,1.0
2.58,-11.96232438,1.0,1.0
2.59,-14.12649076,1.0,1.0
2.6,-16.29243034,1.0,1.0
2.61,-18.0806124,1.0,1.0
2.62,-19.18112944,1.0,1.0
2.63,-19.42784153,1.0,1.0
2.64,-18.83973636,1.0,1.0
2.65,-17.6159569,1.0,1.0
2.66,-16.06906883,1.0,1.0
2.67,-14.52716956,1.0,1.0
2.68,-13.26148627,1.0,1.0
2.69,-12.44844946,1.0,1.0
2.7,-12.15495121,1.0,1.0
2.71,-12.34216198,1.0,1.0
2.72,-12.89199083,1.0,1.0
2.73,-13.63583108,1.0,1.0
2.74,-14.37789957,1.0,1.0
2.75,-14.9180204,1.0,1.0
2.76,-15.08128694,1.0,1.0
2.77,-14.763372,1.0,1.0
2.78,-13.98079354,1.0,1.0
2.79,-12.8853505,1.0,1.0
2.8,-11.71444655,1.0,1.0
2.81,-10.70302277,1.0,1.0
2.82,-10.00939748,1.0,1.0
2.83,-9.69109169,1.0,1.0
2.84,-9.73081951,1.0,1.0
2.85,-10.07378292,1.0,1.0
2.86,-10.63799497,1.0,1.0
2.87,-11.3002325,1.0,1.0
2.88,-11.88784475,1.0,1.0
2.89,-12.20227528,1.0,1.0
2.9,-12.07570641,1.0,1.0
2.91,-11.43902904,1.0,1.0
2.92,-10.36633859,1.0,1.0
2.93,-9.0620993,1.0,1.0
2.94,-7.78631803,1.0,1.0
2.95,-6.75443532,1.0,1.0
2.96,-6.06066394,1.0,1.0
2.97,-5.66095289,1.0,1.0
2.98,-5.42762628,1.0,1.0
2.99,-5.24219209,1.0,1.0
3.0,-5.05732626,1.0,1.0
3.01,-4.8920217,1.0,1.0
3.02,-4.76940673,1.0,1.0
3.03,-4.64550473,1.0,1.0
3.04,-4.38246959,1.0,1.0
3.05,-3.78447428,1.0,1.0
3.06,-2.68108301,1.0,1.0
3.07,-1.02130237,1.0,1.0
3.08,1.08150257,1.0,1.0
3.09,3.38563561,1.0,1.0
3.1,5.59672633,1.0,1.0
3.11,7.42755328,1.0,1.0
3.12,8.63908553,1.0,1.0
3.13,9.08468526,1.0,1.0
3.14,8.74687935,1.0,1.0
3.15,7.76192022,1.0,1.0
3.16,6.39048589,1.0,1.0
3.17,4.95726525,1.0,1.0
3.18,3.7734018,1.0,1.0
3.19,3.08237361,1.0,1.0
3.2,3.02742883,1.0,1.0
3.21,3.59624341,1.0,1.0
3.22,4.56530429,1.0,1.0
3.23,5.53367886,1.0,1.0
3.24,6.07506573,1.0,1.0
3.25,5.92056943,1.0,1.0
3.26,5.0590291,1.0,1.0
3.27,3.71334022,1.0,1.0
3.28,2.21446695,1.0,1.0
3.29,0.82806287,1.0,1.0
3.3,-0.36127628,1.0,1.0
3.31,-1.41532312,1.0,1.0
3.32,-2.38252518,1.0,1.0
3.33,-3.13649805,1.0,1.0
3.34,-3.33722036,1.0,1.0
3.35,-2.5721437,1.0,1.0
3.36,-0.6248545,1.0,1.0
3.37,2.28169661,1.0,1.0
3.38,5.44811171,1.0,1.0
3.39,7.94376988,1.0,1.0
3.4,8.99960909,1.0,1.0
3.41,8.29931473,1.0,1.0
3.42,6.02652227,1.0,1.0
3.43,2.7078655,1.0,1.0
