seg,residual_source,solver,success,cost,t1,d1,t2,d2,B,B_theory,B_edge_over_theory,nfev,qc_warning
1AB,id:pelvis_ty_force,least_squares,True,424538.2152985453,0.6169863574717911,0.0755660748678639,1.9899665786599567,0.1667689127646854,98.066,98.066,0.9271207261456168,33,
2AB,id:pelvis_ty_force,least_squares,True,193157.6258642685,0.8253700981937909,0.1091863919815275,2.1921952469960013,0.0864792062809688,98.066,98.066,0.9799488079296734,42,
3AB,id:pelvis_ty_force,least_squares,True,332144.45161862904,0.867247249224522,0.1741399531709973,2.208233169050311,0.3057197652462972,98.066,98.066,0.944434543591691,21,
4AB,id:pelvis_ty_force,least_squares,True,224670.19149287345,0.6743484059258207,0.3528079421651869,2.0047133794168546,0.3329359756870945,98.066,98.066,0.9254677731233828,23,
5AB,id:pelvis_ty_force,least_squares,True,399951.15391374606,0.8800296888987994,0.0876345970510461,2.222663518316329,0.1432364030445229,98.066,98.066,0.91941371983974,34,
6AB,id:pelvis_ty_force,least_squares,True,237992.1826208585,0.7365724871036767,0.1891355978709128,2.01161732615869,0.3191058192008272,98.066,98.066,0.9251606168944646,17,
7AB,id:pelvis_ty_force,least_squares,True,250270.90150692943,0.8038508535427318,0.0904076170822711,1.9728192690821944,0.3266990262530928,98.066,98.066,0.924436284402101,25,
8AB,id:pelvis_ty_force,least_squares,True,269683.3150555899,0.8252018236978224,0.0875450428012322,2.031552705762468,0.3672554128606131,98.066,98.066,0.9116888564984048,38,
9AB,id:pelvis_ty_force,least_squares,True,254939.41092420305,0.647154879304576,0.2589574258509813,2.173641955099085,0.210176520060656,98.066,98.066,0.9172754093651616,21,
11AB,id:pelvis_ty_force,least_squares,True,140313.92850873416,0.7026101522357965,0.1768037935681712,2.022809634554034,0.3294991400949113,98.066,98.066,0.9273110880927334,27,
12AB,id:pelvis_ty_force,least_squares,True,157511.61097156492,0.5588661765395166,0.4932938910298126,2.0685235329770286,0.3410303825885107,98.066,98.066,0.9506037793074932,38,
1BC,id:pelvis_ty_force,least_squares,True,272234.8726559113,0.8591091699903728,0.2069972686025158,2.033332284791471,0.2229225971796959,98.066,98.066,0.8246602169777216,20,
2BC,id:pelvis_ty_force,least_squares,True,397406.2264819223,0.8415540096294601,0.1467655729737303,1.8219539556457764,0.3628021777894007,98.066,98.066,0.7755326040565718,19,
3BC,id:pelvis_ty_force,least_squares,True,389059.0635701067,0.8431718244126141,0.1429742004706442,2.0923916746575304,0.0810019853587691,98.066,98.066,0.7909380624953263,40,
4BC,id:pelvis_ty_force,least_squares,True,225003.1552078211,0.8729028594565613,0.2494963227821361,2.2048531522150783,0.1141398320297613,98.066,98.066,0.8088710450604896,30,
5BC,id:pelvis_ty_force,least_squares,True,312307.06978324096,0.7803045325778319,0.2205790524195625,1.975431838190778,0.2982220963431122,98.066,98.066,0.8172372012276246,25,
6BC,id:pelvis_ty_force,least_squares,True,297855.888769226,0.8383949536706499,0.1901422398454116,2.024694896141709,0.1184876690504136,98.066,98.066,0.8022609032422342,19,
7BC,id:pelvis_ty_force,least_squares,True,230956.67537000653,0.9102733017005672,0.1581473363513082,2.086482671512444,0.1422462125857495,98.066,98.066,0.8266893849080431,17,
8BC,id:pelvis_ty_force,least_squares,True,282555.15612570144,0.8607636457182067,0.1482900565510042,2.0250563927060776,0.1937451646972944,98.066,98.066,0.8137625260438849,16,
9BC,id:pelvis_ty_force,least_squares,True,205239.34581498697,0.8667733360569527,0.2144670669885336,2.140135183890914,0.1128560555056478,98.066,98.066,0.8400656945052611,16,
10BC,id:pelvis_ty_force,least_squares,True,202790.36728926617,0.8603670618635795,0.2520458985765044,2.2016409137034265,0.1142443363296819,98.066,98.066,0.822552612404291,16,
11BC,id:pelvis_ty_force,least_squares,True,291301.04703703953,0.8625587369973298,0.2911718500258327,2.137473061992209,0.0963282999480098,98.066,98.066,0.7911470314909966,20,
12BC,id:pelvis_ty_force,least_squares,True,214695.6931340524,0.8478888878516861,0.239038474743164,2.2195586357262576,0.1144725662119245,98.066,98.066,0.8008154093161747,17,
1CA,id:pelvis_ty_force,least_squares,True,288579.16146275494,0.922187752541406,0.0915697471247285,2.105214878654799,0.754653341742943,98.066,98.066,0.810752881199856,33,
2CA,id:pelvis_ty_force,least_squares,True,214169.1859981097,0.9356058908696702,0.1003266044692295,1.90040895214126,0.7999999998355907,98.066,98.066,0.8078152183333513,31,
3CA,id:pelvis_ty_force,least_squares,True,213807.43091049104,0.8633466001409363,0.2615320786998541,2.2204734982735017,0.7899300015795343,98.066,98.066,0.8222629074566828,17,
4CA,id:pelvis_ty_force,least_squares,True,269054.45750062336,0.8361845371458434,0.2844905806901152,2.345767009261365,0.274437417208595,98.066,98.066,0.8013813310823483,19,
5CA,id:pelvis_ty_force,least_squares,True,238110.04274088496,0.8426214769868935,0.2042493394899653,2.127745030932948,0.78047548515013,98.066,98.066,0.7862735197703988,27,
6CA,id:pelvis_ty_force,least_squares,True,221239.443008515,0.9245170328512649,0.1094845842632763,2.088531623189085,0.7999999999999831,98.066,98.066,0.7928791006397052,22,
7CA,id:pelvis_ty_force,least_squares,True,222820.4154432906,0.924377778586346,0.1821557437302451,2.321789734559699,0.1726872436279202,98.066,98.066,0.8007433714689146,22,
8CA,id:pelvis_ty_force,least_squares,True,191675.5003568561,0.8473935914155153,0.2264534238258633,2.3300381596849173,0.2661283529286828,98.066,98.066,0.8236945468398034,23,
10CA,id:pelvis_ty_force,least_squares,True,155951.19264978418,0.8971374510086022,0.2388968971118644,2.1570463941298765,0.5906461642021801,98.066,98.066,0.81597801277491,23,
11CA,id:pelvis_ty_force,least_squares,True,146311.3838229939,0.918666046224271,0.1667247749420173,2.2471560100598054,0.3892627189922708,98.066,98.066,0.8366066680682837,18,
12CA,id:pelvis_ty_force,least_squares,True,161101.90171964845,0.8934130594525785,0.22061497239504715,2.486063655478352,0.2585470955999228,98.066,98.066,0.8418143606556687,22,
